ID.10,fluxes_cobra
r_3550,0.0
r_3551,0.0
r_3552,0.0
r_3553,-1.91579653310157e-19
r_3570,0.000810768249352463
r_3571,0.0
r_3572,0.0
r_3573,0.0
r_3574,0.0
r_3575,0.0
r_3576,0.0
r_3577,0.0
r_3578,0.0
r_3579,0.0
r_3580,7.12958688694374e-39
r_3581,0.0
r_3582,0.0
r_3583,0.0
r_3584,0.0
r_3585,0.0
r_3586,0.0
r_3587,0.0
r_3596,0.00160102637345429
r_3597,0.0
r_3598,0.0
r_3599,0.0
r_3600,0.0
r_3601,0.0
r_3602,0.0
r_3603,0.0
r_3604,2.87704628977695e-05
r_3605,9.57790017197555e-37
r_3606,0.0
r_3607,0.0
r_3608,0.0
r_3609,0.0
r_3610,0.0
r_3611,0.0
r_3612,0.0
r_3613,0.0
r_3614,0.0
r_3615,0.0
r_3628,0.0
r_3630,0.0
r_3648,0.0
r_3649,0.0
r_3650,-3.08397161337179e-35
r_3651,0.0
r_3652,0.0
r_3653,0.0
r_3658,0.0
r_3660,0.0
r_3662,0.0
r_3663,0.0
r_3664,0.0
r_3665,0.0
r_3666,0.0
r_3667,0.0
r_3668,1.42155080383017e-05
r_3669,0.0
r_3670,0.0
r_3671,9.47700535886783e-06
r_3678,9.47700535886783e-06
r_3679,0.0
r_3680,9.47700535886783e-06
r_3684,0.0
r_3701,0.0
r_3703,0.0
r_3704,1.07075128262268e-20
r_3709,0.0
r_3711,0.0
r_3712,7.3430814726267e-05
r_3717,0.0
r_3718,0.0
r_3719,0.0
r_3720,0.0
r_3721,0.0
r_3722,0.0
r_3723,0.0
r_3724,0.0
r_3725,0.0
r_3726,0.0
r_3727,0.0
r_3728,0.0
r_3729,0.0
r_3730,0.00145416474400176
r_3735,0.0
r_3737,0.0
r_3743,0.0
r_3745,0.0
r_3747,0.0
r_3749,0.0
r_3751,0.0
r_3753,0.0
r_3763,0.0
r_3769,0.0
r_3771,0.0
r_3785,0.0
r_3787,0.0
r_3793,0.0
r_3795,0.0
r_3801,0.0
r_3803,0.0
r_3809,0.0
r_3811,0.0
r_3833,0.0
r_3835,0.0
r_3841,0.0
r_3843,0.0
r_3849,0.0
r_3851,0.0
r_3873,0.0
r_3875,0.0
r_3881,-2.49850403142909e-35
r_3883,2.87704628977694e-05
r_3889,0.0
r_3891,0.0
r_3897,0.0
r_3899,0.0
r_3902,0.0
r_3927,0.0
r_3928,0.0
r_3933,0.0
r_3935,0.0
r_3938,0.0
r_3939,0.0
r_3940,0.0
r_3945,0.0
r_3947,0.0
r_3953,0.0
r_3955,0.0
r_3957,0.000941999713153299
r_3958,0.0
r_3959,0.0
r_3960,9.47700535886783e-06
r_3961,0.0
r_3962,0.0
r_3987,0.0
r_3996,0.0
r_4005,0.0
r_4038,0.0
r_4040,1.34646547515794e-08
r_4041,0.0134646547515795
r_4043,0.0
r_4044,0.0
r_4046,0.0
r_4047,0.0134646547515794
r_4048,0.0134646547515795
r_4049,0.0134646547515795
r_4050,0.0134646547515795
r_4058,0.00017590329297751
r_4060,0.0
r_4061,0.0
r_4063,0.0134646547515795
r_4065,0.0134646547515795
r_4161,0.0
r_4162,0.0
r_4163,0.0
r_4168,0.0
r_4169,0.0
r_4184,0.0
r_4185,0.0
r_4195,0.0
r_4263,0.0
r_4291,0.0
r_4292,0.0
r_4293,0.0
r_4294,0.0
r_4295,0.0
r_4296,0.0
r_4297,0.0
r_4298,0.0
r_4299,0.0
r_4300,0.0
r_4301,0.0
r_4302,0.0
r_4303,0.0
r_4304,0.0
r_4305,0.0
r_4306,0.0
r_4307,0.0
r_4312,0.0
r_4325,0.0
r_4327,0.0
r_4329,0.0
r_4332,0.0
r_4337,0.0
t_0008,0.0
t_0015,0.0
t_0016,2.29706820387895e-30
t_0017,0.0
t_0018,0.0
t_0019,0.0
t_0020,0.0
t_0077,0.000716962126692215
t_0078,0.0
t_0079,0.0
t_0080,0.0
t_0082,0.0
t_0116,0.0
t_0117,0.0
t_0118,4.73850267943391e-06
t_0119,0.0
t_0120,-3.13857618329236e-37
t_0121,0.0
t_0122,0.0
t_0123,0.0
t_0124,0.0
t_0125,0.0
t_0126,0.0
t_0127,0.0
t_0128,0.0
t_0129,0.0
t_0130,0.0
t_0131,0.0
t_0132,0.0
t_0133,0.0
t_0134,0.0
t_0135,0.0
t_0136,4.73850267943392e-06
t_0137,0.0
t_0138,-1.19353032992491e-37
t_0139,0.0
t_0140,0.0
t_0141,0.0
t_0142,0.0
t_0143,0.0
t_0144,0.0
t_0176,0.0
t_0177,0.0
t_0179,0.0
t_0180,0.0
t_0243,0.0
t_0244,0.0
t_0246,0.0
t_0247,0.0
t_0249,0.0
t_0250,0.0
t_0252,0.0
t_0253,0.0
t_0257,0.0
t_0258,0.0
t_0260,0.0
t_0261,0.0
t_0263,-1.24923652464178e-35
t_0264,1.24923652464178e-35
t_0266,1.18134323525908e-35
t_0267,-1.18134323525908e-35
t_0276,0.0
t_0277,0.0
t_0278,0.0
t_0279,4.73850267943392e-06
t_0280,0.0
t_0281,0.0
t_0283,0.0
t_0284,0.0
t_0285,4.73850267943392e-06
t_0286,0.0
t_0287,-1.53534761796234e-37
t_0288,0.0
t_0289,0.0
t_0290,0.0
t_0291,0.0
t_0292,0.0
t_0293,0.0
t_0295,0.0
t_0296,0.0
t_0298,0.0
t_0299,0.0
t_0300,0.0
t_0301,0.000213058689097356
t_0302,0.000716962126692215
t_0303,7.3430814726267e-05
t_0304,1.07075128262268e-20
t_0305,-4.71062891450286e-36
t_0307,0.0
t_0308,0.0
t_0310,0.0
t_0311,0.0
t_0385,0.0
t_0386,0.0
t_0387,0.0
t_0388,0.0
t_0389,0.0
t_0445,0.0
t_0446,0.0
t_0448,0.0
t_0449,0.0
t_0451,0.0
t_0452,0.0
t_0454,0.0
t_0455,0.0
t_0463,0.0
t_0464,0.0
t_0466,0.0
t_0467,0.0
t_0469,0.0
t_0470,0.0
t_0472,0.0
t_0473,0.0
t_0475,3.79433953067962e-35
t_0476,0.0
t_0478,0.0
t_0479,0.0
t_0499,3.22087343286583e-35
t_0500,0.0
t_0502,0.0
t_0503,0.0
t_0504,0.0
t_0505,0.0
t_0506,0.0
t_0507,0.0
t_0508,0.0
t_0509,0.0
t_0511,0.0
t_0512,0.0
t_0514,0.0
t_0515,0.0
t_0570,0.0
t_0571,0.0
t_0572,0.0
t_0573,0.0
t_0574,0.0
t_0575,0.0
t_0576,0.0
t_0577,0.0
t_0578,0.0
t_0579,0.0
t_0581,0.0
t_0582,0.0
t_0584,0.0
t_0585,0.0
t_0587,0.0
t_0588,0.0
t_0590,0.0
t_0591,0.0
t_0593,0.0
t_0594,0.0
t_0596,0.0
