uniprot	Gene_names	Xexp_1	Xexp_2	XNlim_1	XNlim_2
M7XAS2	RHTO_02455	0.00025281773576292895	0.00026023505536768433	0.00010897257473772096	0.00010012438559799897
M7X113	RHTO_06010	0.00023008301391282948	0.00023741787194882775	9.707432303245789e-05	8.930928445316422e-05
M7WYP6	RHTO_00155	9.697848081316259e-05	0.00011964271998195104	9.249572339160058e-05	8.87682724218345e-05
M7WVL3	RHTO_04816	0.00011726888619515674	0.00010871837409133895	3.021082833929522e-05	2.660355410123425e-05
M7X0F2	RPS1	6.214958304042784e-05	6.078359666878736e-05	1.580234316537376e-05	1.444922433188091e-05
M7X2B5	RHTO_04650	1.8932353517474017e-05	2.251444024299873e-05	8.554523925964507e-06	8.668143301332664e-06
M7X6Q6	RHTO_00474	4.916259766009041e-05	4.923997437358687e-05	1.5344973601833795e-05	1.4267508536465858e-05
M7WT03	RHTO_02067	0.00011372636376633396	0.00010994723827896893	2.8564853729203434e-05	2.720258463354019e-05
M7X8D2	RHTO_03968	9.045382903423099e-05	9.401375094127044e-05	2.0926340196639298e-05	2.075009063982856e-05
M7WJP1	RHTO_07683	9.31785756788192e-05	9.104493717493536e-05	2.2254158274724236e-05	2.0741113219469787e-05
M7WPZ9	RHTO_03665	0.00019320820976372594	0.0001996080546461019	5.3196797853567004e-05	4.839732169468415e-05
M7WLM0	RHTO_01873	6.869638953728385e-05	7.396993860586482e-05	1.6937050611658894e-05	1.5433565349448686e-05
M7WRD8	RHTO_02569	3.108913459001865e-05	2.2493034012356848e-05	1.4259785256539035e-05	1.2404184119871839e-05
M7X0R7	RHTO_06955	5.480156115122428e-05	6.322836571913176e-05	3.512348696251717e-05	3.281495428183602e-05
M7X3Q5	RHTO_02697	6.333602114919123e-06	5.352961680107523e-06	2.161602394329336e-06	2.0648181131041737e-06
M7XLZ6	RHTO_05119	7.793115364334515e-05	7.98829133691833e-05	1.7028232629512787e-05	1.596502390385705e-05
M7XKK7	RHTO_04592	0.00020003159594010806	0.00022300476705722463	0.00010026020848504285	9.409797030165977e-05
M7XJG9	RHTO_06048	7.096288577635662e-05	7.511230871026157e-05	2.6665359229835057e-05	2.5849452523190146e-05
M7X5L6	RHTO_03113	9.676741707713694e-05	0.000104657489748164	2.2204408727519823e-05	2.0472104980622943e-05
M7WMJ7	RHTO_05208	2.846886436040441e-05	3.745790231352199e-05	4.7312966121968244e-05	4.315098428039143e-05
M7WLD5	RHTO_05768	6.326996376260354e-07	6.015651177927056e-07	1.7152239517291148e-07	1.337940849042731e-07
M7WYV8	RHTO_07911	0.0001637611183124689	0.00017242438963008713	6.683190056172434e-05	6.457348496814577e-05
M7X5F4	RHTO_03043	2.0964981713495735e-05	2.723487386203383e-05	1.2667839830799721e-05	1.245483143660368e-05
M7WXT3	RHTO_07756	0.00014231734579360885	0.00016022502846278	3.5729062897902344e-05	3.507588994086617e-05
M7XE86	RHTO_05964	0.00013506924580820512	0.00014414842438079686	3.195743346286679e-05	2.8480388978234678e-05
M7XZ23	RHTO_03292	0.0002504190246789482	0.00029059123647642924	0.00011685210737066902	0.00010036798922382759
M7WW95	RHTO_05042	5.5461121663704156e-06	6.109654366305611e-06	2.3727783016399354e-06	2.0356286445222523e-06
M7WMR9	RHTO_01459	1.938878064208341e-06	1.920494016137823e-06	1.074135928619518e-06	9.430948959389853e-07
M7X9F4	RHTO_03560	3.8049423510333866e-05	3.167409432500556e-05	1.811295955562475e-05	1.97724912231443e-05
M7X689	RHTO_00033	1.2483917679208835e-05	1.493289056067388e-05	8.787595221884445e-06	7.620258251104839e-06
M7X2U9	RHTO_01981	0.00017017965179793316	0.0002160546792778603	0.00023682657229693268	0.00022206766057369183
M7XDT3	RHTO_06539	9.662997081312034e-05	0.00010442439379456146	3.826515559039175e-05	3.396485802226398e-05
M7X5D5	RHTO_05447	0.00016303948727247944	0.00017288154341215734	4.973484241600028e-05	4.622137313944352e-05
M7WTR2	RHTO_02116	0.00023910104489462608	0.00026033487404366885	0.00010792196996506114	9.757448870162254e-05
M7XKU4	RHTO_02373	0.0002074394186420592	0.0002168227979654644	7.248377120118203e-05	7.305883013756611e-05
M7WPY7	RHTO_03655	0.00016467309847032833	0.0001537877457057856	0.00036249706426580517	0.0003645149627225012
M7XU45	RHTO_06792	0.00019098339231630781	0.00018327846024484952	7.146201637617564e-05	6.732194280607503e-05
M7XMR9	RHTO_01538	8.885039032335809e-06	8.933756707547951e-06	2.9605423268075585e-06	2.671507208710655e-06
M7X3D9	RHTO_05011	7.777468685410044e-05	8.658398282715704e-05	1.92593327566758e-05	2.1084504159545302e-05
M7WYS8	RHTO_07886	0.00011159291244509864	0.00011358616174927658	3.4601940054411487e-05	3.14490356559425e-05
M7X6H4	RHTO_00384	1.3137533211385838e-05	1.4477428324748691e-05	3.6597243505040383e-06	3.5116746026668057e-06
