Gene_names	mmol_gDCW_average
RHTO_00373	1.9007291139956123e-05
RHTO_00278	8.103727730719813e-06
RHTO_06468	8.572496035419528e-06
RHTO_06551	5.8410951135157095e-06
RHTO_07106	5.750653231329723e-07
RHTO_03328	4.147385520029248e-05
MET3	4.152029684585425e-06
RHTO_05569	0.00010588107526441921
RHTO_03654	4.202233275777499e-05
RHTO_02403	5.268866036517475e-05
RHTO_06766	6.35038328315137e-05
RHTO_02646	1.661227882947387e-05
RHTO_07772	1.4158251393176101e-05
RHTO_02009	7.279007088026547e-05
RHTO_06994	0.00010210557604052932
RHTO_06979	6.963798831794257e-06
RHTO_01338	2.5038914108423778e-05
RHTO_07988	2.9317778041401407e-06
RHTO_02988	1.3371817327646002e-06
RHTO_06614	4.143183166619788e-07
RHTO_07804	8.794174129344472e-05
RHTO_00185	3.7602904508956227e-06
RHTO_05290	2.396044461566065e-05
RHTO_01064	1.4023776870043253e-06
RHTO_02048	7.344124969221698e-06
RHTO_05301	2.2861840764385952e-05
RHTO_07596	5.0112183224051705e-05
RHTO_01392	1.454335688263183e-06
RHTO_07620	4.799894149845647e-06
RHTO_04874	1.2204783519272356e-05
RHTO_01933	8.247309113114058e-05
RHTO_00443	3.0284244277744733e-05
RHTO_05007	1.2189695714041594e-06
RHTO_05264	4.1347642839045125e-06
RHTO_06639	4.67923111999747e-06
RHTO_06068	5.742447717801556e-06
RHTO_00070	8.897607867528497e-05
RHTO_06930	2.3607556409768137e-05
RHTO_03853	2.5531220137845923e-05
RHTO_00391	7.488193831622049e-06
RHTO_02312	5.053474395535506e-06
RHTO_00906	2.9493424675852086e-06
RHTO_04216	3.576217771931416e-05
RHTO_08013	2.810670840997451e-06
RHTO_01852	4.106493531021084e-06
RHTO_01776	1.0457253678338547e-05
RHTO_01354	1.6143268465776907e-05
RHTO_01402	2.6665624361247368e-05
RHTO_01017	2.2465155710035e-05
RHTO_02909	6.617693320487287e-06
RHTO_04781	9.971840996165321e-06
RHTO_06773	5.097092540777913e-06
RHTO_05191	5.792209346742966e-06
RHTO_01139	8.682359775947613e-06
RHTO_05064	1.0375863873003337e-05
RHTO_01907	4.011221003550762e-06
RHTO_03763	2.8647577049307652e-05
RHTO_05549	2.9912395600666583e-07
RHTO_04819	2.42962830062755e-06
RHTO_03081	0.00019386478661972725
RHTO_07734	1.745089254622982e-05
RHTO_02759	2.4407978736990404e-06
RHTO_06193	5.125536415658761e-06
RHTO_06286	2.767450312118823e-05
RHTO_07248	4.014871408296707e-06
RHTO_05101	8.124704247133853e-06
RHTO_02446	4.3509768156388126e-06
RHTO_04703	7.817423180144301e-07
RHTO_03559	3.348144712269236e-06
RHTO_02458	1.6765639854773813e-06
ALA1	7.943132109780972e-07
RHTO_05591	8.602597034293336e-06
RHTO_07748	7.47125030450452e-06
RHTO_00025	1.5346407575294073e-07
RHTO_00168	3.801725762356778e-06
RHTO_07334	2.7418800505258652e-05
RHTO_07923	5.484584629731755e-06
RHTO_07812	5.7158214299395257e-05
RHTO_00462	2.0180459062752873e-06
RHTO_01903	4.1738697433249086e-07
RHTO_06694	1.8756002719446587e-06
RHTO_03294	7.033597381240679e-06
RHTO_00177	6.391145305128851e-06
RHTO_06477	6.333695222899143e-07
RHTO_02888	3.2231367344297223e-05
RHTO_01629	7.129756302464797e-06
RHTO_00114	4.6419819173921835e-05
RHTO_02113	3.6614639916853287e-07
RHTO_06035	1.9385286825211356e-06
RHTO_03982	7.307043802807211e-07
RHTO_01051	1.932607298660702e-06
RHTO_01205	6.064594236739792e-06
RHTO_02712	6.536414243701831e-06
RHTO_06514	8.253235951722827e-05
RHTO_03637	1.4865155562485718e-05
RHTO_01869	7.3605356090375405e-06
RHTO_02974	1.387376442431224e-06
RHTO_07939	1.2143540665123309e-05
RHTO_02032	2.388774829109234e-07
RHTO_00296	7.252519946254964e-07
RHTO_07771	2.3441934689470934e-05
RHTO_00667	6.255964309743956e-07
RHTO_03666	2.9458262244678635e-05
RHTO_06344	5.686383912630463e-06
RHTO_07690	1.4777559706085856e-06
RHTO_05368	3.9563152400724175e-05
RHTO_05087	5.402787953856468e-07
RHTO_01053	1.187273402195273e-06
RHTO_07040	1.5762083711439687e-06
RHTO_03705	2.404587685167274e-05
