uniprot	Gene_names	GNlim_1	GNlim_2
M7WX98	RHTO_00769	2.7674295014039205e-06	2.040205926369946e-06
M7WIH3	RHTO_03548	3.4525983210493757e-07	2.90100830472873e-07
M7X390	RHTO_04951	9.079694871522029e-08	7.738971253316528e-08
M7XNZ4	RHTO_01122	6.896509887839054e-07	5.289195361527754e-07
M7WII9	RHTO_03568	1.9169920047520707e-07	1.6861418617463132e-07
M7XMJ5	RHTO_02851	0.00011253332201752857	9.610128053765647e-05
M7WEL7	RHTO_05609	3.5740414684181324e-06	2.9868225986304796e-06
M7X2I6	RHTO_04720	1.031630208855829e-06	8.520355499597477e-07
M7XPG3	RHTO_00202	8.001002824938956e-07	6.790200620486533e-07
M7XEA2	RHTO_05984	7.204713091187875e-06	6.446483302794886e-06
M7XHC3	RHTO_07606	9.428420674333554e-06	8.544191178492535e-06
M7WLV3	RHTO_01547	8.008424545136087e-07	6.313196833112588e-07
M7XJZ1	RHTO_03397	5.46895647179439e-07	3.5396491809225197e-07
M7XHM1	RHTO_04183	7.83391500196272e-06	4.194947481700041e-06
M7X0V7	RHTO_07000	1.7741815493510452e-06	1.7638503730066808e-06
M7XM76	RHTO_02745	1.9840255471435514e-07	1.596656865337808e-07
M7X0D3	RHTO_07304	1.409783118811421e-06	1.3707537833412361e-06
M7XV41	RHTO_06117	5.132425798079242e-07	3.755269984407821e-07
M7WLH0	RHTO_05630	9.9032770225227e-06	1.0488382002496477e-05
M7XUA4	RHTO_06867	2.7805793170510756e-06	2.2474725640413823e-06
M7WUP8	RHTO_06311	2.881516413511309e-06	2.3000291660478973e-06
M7X6B7	RHTO_00314	1.1691556888633957e-05	1.0548507918064842e-05
M7WML5	RHTO_05228	7.406968713775578e-06	5.728937868664189e-06
M7XJR6	RHTO_03327	1.6007510996334622e-06	1.3396478630495882e-06
M7WDV4	RHTO_05854	5.659649560972026e-07	4.754078856665292e-07
M7XRT0	RHTO_07803	2.542265008759247e-07	2.3234101305661637e-07
M7WUX5	RHTO_01725	1.2686263212539757e-06	1.005771044779318e-06
M7WMP3	RHTO_04513	1.467950350494283e-07	1.2057523045109927e-07
M7WLN2	RHTO_05343	1.282191949960792e-06	1.1522724422650215e-06
M7WWW6	RHTO_02839	6.803220267928029e-07	5.857455588096182e-07
M7XTY9	RHTO_06752	4.2193228199312065e-07	3.297831362724655e-07
M7X7K9	RHTO_04179	1.214674841728933e-06	1.1481459720698677e-06
M7WMJ0	RHTO_05198	5.5379119384359355e-06	5.2451765354665765e-06
M7XQ37	RHTO_01067	3.3627346280487407e-06	7.080753765174287e-06
M7XNS9	RHTO_01480	3.208511443027705e-06	2.3269621632653144e-06
M7WXL1	RHTO_03075	9.092131373286981e-07	7.247907813845303e-07
M7WP41	RHTO_01046	1.3567831774509524e-06	1.1852820925795875e-06
M7WXM4	RHTO_07686	1.3747119175757479e-07	1.1824013741952381e-07
M7XII7	RHTO_03776	4.5920625931492436e-08	4.392733254208831e-08
M7WKK5	RHTO_06393	3.5292846130499277e-06	3.0913518857633702e-06
M7XXZ4	RHTO_02881	9.354362759380704e-07	7.932091460273484e-07
M7WSC8	RHTO_02209	2.9340605007393105e-06	2.23329500367455e-06
M7WNK5	NIP1	2.8872002594275534e-07	2.150099513381831e-07
M7XNS5	RHTO_03298	3.326064280712775e-07	2.6358096097711156e-07
M7X2P9	RHTO_06384	3.89863337654237e-05	3.213869287774022e-05
M7XEQ0	RHTO_01048	5.5422193071085824e-05	4.8476648434460757e-05
M7XFE4	RHTO_00838	2.360556068193157e-06	1.928307682005373e-06
M7WSH8	RHTO_02301	9.295935620974591e-07	6.4934429169939e-07
M7XHL1	RHTO_07118	4.2429451077768964e-07	4.1127727727711316e-07
M7XJ78	RHTO_03757	1.3340846137134957e-06	1.0443907669482998e-06
M7WI80	RHTO_03731	1.4712735770347245e-06	1.2667835736623663e-06
