uniprot	Gene_names	XNlim_1	XNlim_2
M7XQG8	RHTO_00582	2.1278913940607173e-06	2.212382069906424e-06
M7XQA4	RHTO_00662	4.680229686888771e-06	4.8339644166212515e-06
M7XSM0	RHTO_07560	1.2865574109630754e-07	9.176005517146681e-08
M7WVV7	RHTO_01200		2.7874765199942765e-07
M7XR65	RHTO_08066	8.567084453898893e-08	8.02907229515459e-08
M7XJY8	RHTO_06183	7.361572439840981e-07	1.0258640033226441e-06
M7X4N1	RHTO_05732		2.1854058331490475e-06
M7XUV1	RHTO_06027	6.954438547643704e-07	5.499051345602399e-07
M7WUT5	RHTO_01690		2.9468476846912638e-08
M7XG92	RHTO_05321		1.3221684507626796e-06
M7WY18	RHTO_03256	3.7238368926513867e-07	3.5763176068724064e-07
M7XN01	RHTO_01633	1.8483918597442034e-07	1.2540258206654706e-07
M7XIT0	RHTO_06833	3.776598868940855e-08	2.710834553390907e-08
M7WHX0	RHTO_03880	3.048463396032728e-07	3.1638773502642465e-07
M7XQI3	RHTO_00747	3.3561480167413694e-06	6.296622104813085e-07
M7WKH4	RHTO_06453	1.0049080068395966e-07	1.004872351201029e-07
M7WMM4	RHTO_05273	1.031268288866871e-06	6.400657748339151e-07
M7XI13	RHTO_07273	4.382514388667357e-08	4.320000078889646e-08
M7WII3	RHTO_03563	4.578352387725419e-08	4.6009118235404164e-08
M7XKC4	RHTO_02571	3.046578144029368e-07	3.14602322618929e-07
M7XIU1	RHTO_06848		4.4057214148093463e-07
M7WVF0	RHTO_04751	8.304262536335145e-07	6.393581399878794e-07
M7X7I7	RHTO_00488		
M7WQN9	RHTO_03305	1.576835887561432e-07	1.4846610403176575e-07
M7WXQ2	RHTO_03120		6.834338556805073e-08
M7XMY5	RHTO_02977	2.533833822003353e-07	2.3497796130363822e-07
M7WX28	RHTO_00689		
M7WV57	RHTO_04656	1.2142646012564208e-07	1.1188592464738787e-07
M7WIJ7	RHTO_03578	2.3352010317871877e-06	2.09711811181643e-06
M7XGP9	RHTO_07920	1.6057336545692096e-07	1.9385741789021706e-07
M7WGE7	RHTO_04281	4.109008324094408e-07	5.107637105631206e-07
M7X6U2	RHTO_00514	3.0065531726844846e-07	3.031891343974065e-07
M7XFQ7	RHTO_08022		1.1736708182771032e-07
M7WL38	RHTO_05661	3.070250141287976e-07	3.211514622423696e-07
M7WKS6	RHTO_05966	1.4454929421579595e-07	1.437093580827461e-07
M7WD80	RHTO_06490		2.546077990351738e-07
M7XNT9	RHTO_01490	5.954627718602383e-07	5.68606992018695e-07
M7WL33	RHTO_05812	5.994259660433998e-07	5.702213093426017e-07
M7WP76	RHTO_01086	7.677283118605034e-07	7.500677254379722e-07
M7WJE2	RHTO_06630	1.803980257395198e-07	1.4271901865033115e-07
M7XDH7	RHTO_01506		3.201818775800572e-08
M7WSF3	RHTO_07236		3.903381493552498e-06
M7WQ31	RHTO_03695	3.1668963347050854e-07	7.796580435993482e-07
M7X2V8	RHTO_04835	2.045669606928531e-07	1.7678161426099338e-07
M7WQV4	RHTO_03385		1.6444771537016252e-07
M7WYF0	RHTO_07458		1.604181104625725e-06
M7X1U6	RHTO_06270	1.6082844277133483e-07	2.3705734827329703e-07
M7X6E4	RHTO_00349		4.3437171967752866e-07
M7X2Z7	RHTO_04871	4.802621549728293e-07	3.501443993752201e-07
M7WZU9	RHTO_00595	1.1392813643227182e-07	8.769440391017155e-08
M7XHI7	RHTO_07088		4.008973474460976e-07
M7XHJ9	RHTO_04163	2.187886302493924e-07	2.391605539118632e-07
M7WK35	RHTO_02468	4.324050609656278e-07	3.999626187749886e-07
M7X0Y9	RHTO_06799	5.191270169012527e-08	5.029293983972926e-08
M7WN84	RHTO_04305		6.677636297844441e-07
