uniprot	Gene_names	Xexp_1	Xexp_2	XNlim_1	XNlim_2	Aexp_1	Aexp_2	ANlim_1	ANlim_2	GexpUrea_1	GexpUrea_2	GNlimUrea_1	GNlimUrea_2
M7X4D0	RHTO_02909	9.395969480180962e-06	9.468906504262325e-06	4.46009508524069e-06	4.2304729622295954e-06	2.7972038026037605e-06	2.962774652145751e-06	2.0099417838603374e-06	1.7909290621574364e-06	3.564878467963388e-06	3.1288008105285627e-06	2.3730003449995145e-06	1.8905783527078989e-06
M7WVH9	RHTO_04781	2.249718472183391e-06	2.8060270174039157e-06	3.8708537548323685e-06	3.928015482961427e-06	4.65348993023449e-06	5.448197322598843e-06	3.846690879144981e-06	3.835158172690327e-06	2.828400610211745e-06	2.7423955751875716e-06	6.518065439590378e-06	6.453333266040269e-06
M7XIK9	RHTO_06773	6.6932386789836065e-06	5.445405688772363e-06	3.5834213821679447e-06	3.2253916951904703e-06	3.574954538898152e-06	3.93987170870709e-06	2.5962654376588674e-06	2.4536552878187154e-06	8.03205894000739e-06	7.845953571099763e-06	3.4570565469272262e-06	2.825219990881181e-06
M7X6H1	RHTO_05191	6.1592501486113355e-06	6.756206895712771e-06	3.276663890889075e-06	3.1450246586493103e-06	3.408359521829283e-06	3.9908277451702385e-06	2.1624154850776886e-06	2.041773038268682e-06	5.502467097588333e-06	4.911925837728215e-06	2.8718147264073356e-06	2.5127889752943556e-06
M7XDN2	RHTO_01139	5.654051390522444e-06	5.834356329037679e-06	2.532232775128295e-06	2.8554566799423344e-06	3.1811254529066106e-06	3.5394453874682914e-06	2.749467623320889e-06	2.4087103912011187e-06	6.423649304869491e-06	5.736200650298952e-06	3.56132035317343e-06	3.239443318842539e-06
M7XLU8	RHTO_05064	7.53269534626277e-06	7.67106935124587e-06	6.712558719798581e-06	6.080821776987354e-06	8.629268713280258e-06	1.0146154874249114e-05	7.819690886984147e-06	6.798770227394329e-06	1.3162643243709938e-05	1.1996900276137396e-05	8.978769982696014e-06	6.865992492286735e-06
M7WTM4	RHTO_01907	3.1882975040928775e-06	3.2663951895888874e-06		1.6388687455060604e-06	3.878778165970633e-06	3.5134115391206037e-06	1.935025863193175e-06	1.5388634225609241e-06	5.306221434226368e-06	6.118767905195074e-06	1.954276058248762e-06	1.492050072747031e-06
M7WQ15	RHTO_03763	2.7997618442411972e-06	3.0886093400956384e-06	7.384046070408539e-06	7.575386487606589e-06	4.451550959553624e-06	5.600688699625065e-06	3.452064658141679e-06	3.3605148303945747e-06	4.053538316928259e-06	4.218332801929942e-06	1.399120417278496e-05	1.0222172685004296e-05
M7WEG7	RHTO_05549	1.4306245543908039e-06	1.406676222253352e-06	4.742712605154583e-07	4.600668430935224e-07	1.1431940084155438e-06	1.0526212485870674e-06	5.253114238439745e-07	4.315883163634149e-07	2.9742662895481447e-06	2.873670156732526e-06	5.0813532815966e-07	4.314521715099064e-07
M7X3F9	RHTO_04819	2.85480280584794e-06	3.079728808891124e-06	1.5570556326372264e-06	1.612292727972098e-06	2.533842344834552e-06	2.7689741918370216e-06	1.6369447195031194e-06	1.32730272988004e-06	4.609859960041785e-06	4.963620591544159e-06	1.979144139776386e-06	1.657794636822072e-06
