Gene_names	mmol_gDCW_average
RHTO_01922	1.088684574424479e-05
RHTO_07080	1.1636867452798443e-05
RHTO_03896	8.392130872500647e-06
RHTO_04131	8.480905542174433e-06
RHTO_01289	8.04113908256172e-06
RHTO_06581	4.212303466432809e-06
RHTO_07843	1.7155702326259112e-05
RHTO_01329	9.744834083700863e-06
RHTO_04114	1.0516918824970506e-05
RHTO_05714	5.3003609857323645e-06
RHTO_03921	6.519901185214854e-06
RHTO_01854	1.2699707659935094e-05
RHTO_01866	5.373867286206107e-06
RHTO_05746	1.0930000733947981e-05
RHTO_04315	4.545859161597119e-06
RHTO_07708	7.4008176961196665e-06
RHTO_03967	2.2387093360650365e-05
RHTO_05162	6.1854243612930775e-06
RHTO_04463	4.518605502307401e-06
RHTO_01027	5.910361694756783e-06
RHTO_02584	2.709544024868047e-05
RHTO_04839	1.1964042037554818e-05
RHTO_00354	2.3554969721513607e-05
RHTO_04890	1.0753651030487873e-05
RHTO_03594	1.3171643507582145e-06
RHTO_00592	3.2608816316591915e-06
RHTO_02483	3.517903357022528e-05
RHTO_01560	5.3205716080954545e-06
ADK1	7.4616496331626886e-06
RHTO_02628	2.7913567226245936e-06
RHTO_06248	1.8951439336684097e-05
RHTO_02232	1.1245152980423929e-05
RHTO_01367	1.4599163012874719e-05
RHTO_07025	1.0684302937253638e-05
RHTO_07860	2.8404431390100046e-06
RPS0	3.488446709419832e-05
RHTO_08151	3.193157325513633e-05
RHTO_02004	6.420637497847526e-07
RHTO_05147	5.790718099123367e-06
RHTO_03291	3.2768092932963623e-06
RHTO_04540	5.077878688791614e-06
RHTO_03507	1.5373661856553415e-06
RHTO_04629	3.1058084003473483e-06
RHTO_02176	1.5250665243393212e-05
RHTO_04048	1.0016795565026043e-05
RHTO_00540	5.006886373708638e-06
RHTO_05035	2.107859916549075e-05
RHTO_06703	3.3524834559498567e-06
RHTO_01534	3.5538946683475233e-06
RHTO_06331	4.243465160115601e-06
RHTO_06455	4.503077515127903e-06
RHTO_01610	5.689915473870385e-06
RHTO_01970	3.968995858598178e-06
RHTO_03444	5.271961362464648e-06
RHTO_03404	4.61404276657259e-06
RHTO_03109	4.707545682311013e-06
RHTO_01290	7.95863408963252e-06
RHTO_02175	1.8032986423382178e-05
RHTO_07820	3.603381418688724e-06
RHTO_00794	2.751421413083175e-06
RHTO_03373	2.308259954706871e-05
RHTO_00373	8.254930910291412e-06
RHTO_00278	5.129784730984703e-06
RHTO_06468	8.367462592388685e-06
RHTO_06551	5.239300136021595e-06
RHTO_07106	5.780068908507407e-07
RHTO_03328	9.900332265119954e-06
MET3	4.025979957179899e-06
RHTO_05569	3.629280685237504e-05
RHTO_03654	8.815210086550257e-06
RHTO_02403	9.365364611771715e-06
RHTO_06766	1.1984220159104388e-05
RHTO_02646	7.717703057342346e-06
RHTO_07772	7.802073965143695e-06
RHTO_02009	1.7310705965545834e-05
RHTO_06994	1.4884105796323603e-05
RHTO_06979	5.594876442200636e-06
RHTO_01338	5.471965364694982e-06
RHTO_07988	3.4305766257445145e-06
RHTO_02988	2.206225843274259e-06
