uniprot	Gene_names	Aexp_1	Aexp_2
M7WSK1	RHTO_07286	1.3816542326921268e-06	1.1829676071630037e-06
M7WKV3	RHTO_05769		5.635795376103115e-09
M7XE45	RHTO_06426	1.0578281046087458e-06	1.1340529796681416e-06
M7XFZ3	RHTO_08102	7.072750795100783e-07	7.142285700419007e-07
M7X6B3	RHTO_00309	2.848258479062908e-06	2.5004786501679652e-06
M7WP58	RHTO_01066	1.4119853267607494e-06	1.4658325738419496e-06
M7WGU3	RHTO_04201	3.54928125800098e-06	3.6154324261267143e-06
M7XWU8	RHTO_04903	1.196502887048195e-06	1.5227641725655481e-06
M7WVM1	RHTO_01114	3.6093150720481372e-06	3.3932265037302844e-06
M7WDG6	RHTO_05983	4.597481516135392e-06	4.761900140558285e-06
M7WS52	RHTO_02152	2.1779241475110301e-07	2.6451886753024846e-07
M7WFP5	RHTO_05174	2.0761217548721502e-08	2.309176821056987e-08
M7XG51	RHTO_05286	8.234154403674771e-07	7.396230287746092e-07
M7X1I2	RHTO_07024	5.750609492839954e-06	6.083265965898492e-06
M7WSR6	RHTO_02296	5.2916125491887265e-06	6.396546756427288e-06
M7WS48	RHTO_02321	6.4088241323602e-06	5.778862403854608e-06
M7XC49	RHTO_01805	1.326047420840833e-06	1.329725162479489e-06
M7WVZ8	RHTO_04922	3.2292408967452294e-06	3.7216155967864954e-06
M7X520	RHTO_02923	5.9914644769086745e-06	6.606332600535028e-06
M7X6Z4	RHTO_04450	1.6202711902737543e-06	2.1010570687180567e-06
M7X7Y2	TIF35	2.0325656616850524e-06	1.9716295554244817e-06
M7WSD8	RHTO_02401	2.330370883730841e-06	2.847056219677482e-06
M7XJD3	RHTO_06018	3.4372646678757305e-07	3.8403988731786685e-07
M7X2C5	RHTO_04660	1.385015600048644e-06	1.469709520813652e-06
M7WLE9	RHTO_01778	5.024060852462605e-07	5.948619588379428e-07
M7WP35	RHTO_04103	4.3862534999655943e-07	5.342916921315807e-07
M7X304	RHTO_04876	8.71147760741843e-06	8.663117996568957e-06
M7XL44	RHTO_02250	1.2736751681411928e-07	1.2235323058005885e-07
M7XQ16	RHTO_00447	6.274009785136008e-08	7.940233526005364e-08
M7XIA0	RHTO_03917	2.8066413567264333e-06	3.2243239500551233e-06
M7XGM1	RHTO_05200	6.25842476013827e-07	6.384782163189007e-07
M7XXQ1	RHTO_02775	7.623289167535046e-06	6.418537792070507e-06
M7WVB6	RHTO_04721	2.1979684405238677e-06	1.8935091561568556e-06
M7WZW7	RHTO_07119	3.24685078660478e-06	5.064170947255706e-06
M7WVW4	RHTO_00975	7.815831478062627e-08	8.38385916021047e-08
M7WU06	RHTO_01826	6.239170030441063e-07	8.357617031651673e-07
M7WCH0	RHTO_07387	8.357666742357909e-07	8.555004694273818e-07
M7XAK9	RHTO_02374	1.629933180870911e-06	1.6525017424343397e-06
M7X6K7	RHTO_04481	2.0892787468147147e-06	2.0544618538964247e-06
M7XNR2	RHTO_01460	3.989841364977138e-07	5.000537783690135e-07
M7WYL5	RHTO_07513	1.8840081994822841e-06	1.8928448849346397e-06
M7X414	RHTO_06442	1.3696386190822403e-06	1.2709783167535113e-06
M7WVJ2	RHTO_04791	1.1131731841289325e-06	1.414710972204455e-06
M7WY79	RHTO_08143	2.6766051357058396e-07	2.661079461267767e-07
M7WCI4	RHTO_07059	2.7105144739066556e-07	3.0299766349500287e-07
M7WZL2	RHTO_07265	5.67724981257466e-07	5.283863529249778e-07
M7X5V2	MDE1	1.389604093627257e-06	1.2860044149617225e-06
M7WDC1	RHTO_06445	2.731032058245444e-07	2.80055660251411e-07
M7WDS9	RHTO_05829	1.3980214354405437e-06	1.551720252228314e-06
M7XTV9	RHTO_06727	1.8071613559349365e-06	1.8738532972605688e-06
M7WMI5	RHTO_05193	9.566738750137369e-06	8.654436406330624e-06
M7X3B8	RHTO_04986	4.744389465428328e-06	4.230705365830754e-06
M7XF55	RHTO_00748		3.623678272145423e-08
M7XMA7	RHTO_01754	5.848658014173642e-07	8.358866399816407e-07
M7XV13	RHTO_06092	5.006512011844261e-07	4.7030687149166955e-07
M7WRB9	RHTO_07444	2.235302774710324e-06	1.3194820038692335e-06
M7WMI1	RHTO_01364	7.4291333891350844e-06	8.283849296929679e-06
M7WRV8	RHTO_02402	2.38720360806243e-07	2.9767836378546085e-07
M7WLS9	RHTO_05715	8.61898116896795e-07	8.751059284428501e-07
M7X1S1	RHTO_06069	1.8177452212453683e-06	2.6814908417450754e-06
M7X586	RHTO_05571	4.7266771922984053e-07	4.854225365295954e-07
M7X3R7	RHTO_04910	1.600799935163686e-05	2.17285164229718e-05
M7X8V9	RHTO_03653	8.995979964894477e-07	9.685424161760008e-07
M7WVN0	RHTO_04831	4.480897273846102e-07	4.3142732255372224e-07
M7X6W8	RHTO_00534	4.7867400721376165e-06	5.785069318635223e-06
M7XG83	RHTO_07729	1.4353853692314935e-06	1.1669657956213096e-06
M7WXH9	RHTO_03045	3.2177276933013897e-07	3.7573763817714737e-07
M7WUR1	RHTO_06326	5.513293513621661e-07	6.255667354397936e-07
M7X0R3	RHTO_06749	2.569336697383357e-06	2.651204836914747e-06
M7X939	RHTO_03743	3.3570641078718814e-06	4.633914137623726e-06
M7X2V7	RHTO_04624	2.208219512645864e-06	2.422122323823928e-06
M7WL93	RHTO_05728	3.479453428166503e-07	3.667773630600565e-07
M7XMK1	RHTO_01864	9.008099230397215e-08	1.288896816121797e-07
M7WFF1	RHTO_05315	3.3318724439777885e-06	3.1858820544571396e-06
M7X7R6	RHTO_04229	2.4591979737676023e-06	2.981410873869877e-06
M7WM43	RHTO_01637	1.118166332175344e-07	1.2494257780434332e-07
M7XPI9	RHTO_00242	2.4920217620117195e-06	2.2850664050077736e-06
M7WCV9	RHTO_06589	1.5235199684044173e-06	1.6276721243156714e-06
M7WYU1	RHTO_00205	9.504840995794988e-07	1.1482344165133028e-06
M7WYT7	RHTO_00200	8.035077527183598e-06	8.467844414257468e-06
M7X8Y2	RHTO_03678	6.426934705838644e-08	5.499824961289774e-08
M7XZN8	RHTO_00226	2.1203802385894963e-07	2.8034301585579933e-07
M7WD04	RHTO_06548	1.3738335601323743e-07	1.5002516131982802e-07
M7WRY8	RHTO_07649	6.473858875325176e-07	6.374060262939646e-07
M7WJ39	RHTO_03436	3.701880394696092e-06	4.117875811404789e-06
M7Y0N8	RHTO_00566	8.51687288867829e-08	1.1846757883637969e-07
M7XE78	RHTO_00878	6.536662948068098e-08	6.070401341153648e-08
M7WUW8	RHTO_06386	3.4112494172782284e-06	3.634187510700273e-06
M7X7C0	RHTO_00408	4.2013346702749344e-07	4.721678585342902e-07
M7XJX0	RHTO_03377	3.756401002027783e-07	4.6150550054346326e-07
M7XDY6	RHTO_01249	2.6678569792659843e-07	3.1883718314895277e-07
M7X226	RHTO_06370	2.9904909638790382e-05	3.117895635583947e-05
M7WQD1	RHTO_03633	6.554754289868162e-07	7.602174241387276e-07
M7XB28	RHTO_02297	2.3059152794803205e-07	2.6118609627215253e-07
M7XGP2	RHTO_05230	3.9546113079007643e-07	3.957376397318477e-07
M7XI48	RHTO_07303	7.496245660066593e-07	7.747797787449684e-07
M7XFS8	RHTO_08047	2.2836699037008813e-06	2.455256120163728e-06
M7WVP5	RHTO_04846	1.9815750957302222e-06	2.0816552890475493e-06
M7XEW0	RHTO_05756	8.870677725919068e-07	7.894176715249272e-07
M7WJJ1	RHTO_02600	2.0362942102037887e-07	2.162491610945037e-07
M7XDI7	RHTO_06618		
M7XH21	RHTO_07516	2.3570795995282095e-07	2.065674660256048e-07
M7XLA9	RHTO_04843	7.222100910272748e-08	8.315922942972278e-08
M7XHZ2	RHTO_04030	2.0867477113231607e-06	2.906666548472038e-06
M7X683	RHTO_00274	1.4759614910866653e-06	1.490517721909668e-06
M7XMS6	RHTO_02927	5.628964759856841e-08	6.520051917782858e-08
M7WLK5	RHTO_01853	7.662291064055943e-07	8.457258457729885e-07
M7XUB5	RHTO_06882	1.3632603119680797e-06	1.2078938042092966e-06
M7WWQ5	RHTO_00820	2.6508348801416847e-07	3.0347499031031396e-07
M7WP96	RHTO_03925	7.482022256507633e-07	7.77714199360526e-07
M7WMD7	RHTO_01732	1.3963614689650626e-07	1.8977093193528004e-07
M7WT61	RHTO_02122	1.3480968786853414e-07	1.1744198597113986e-07
M7XQN3	SEY1	1.4362557689351088e-07	1.6721239732296285e-07
M7XH83	RHTO_04292	4.080316549915167e-07	4.2620734511021e-07
M7XNF6	RHTO_01365	3.0924684048973253e-06	3.4931601373990766e-06
M7WLI2	RHTO_05640	2.663255452358115e-06	2.8372353131447336e-06
M7XQG8	RHTO_00582	1.9998768854135245e-06	2.15494644757994e-06
M7XQA4	RHTO_00662	8.315453952442394e-06	8.321785636049425e-06
M7XSM0	RHTO_07560	1.0652330606149944e-07	1.6499179862272783e-07
M7WVV7	RHTO_01200	1.2767278499499442e-06	1.593501055793748e-06
M7XR65	RHTO_08066	9.59293928613017e-08	1.1261922089977504e-07
M7XJY8	RHTO_06183	2.152345190425246e-06	2.1717383393793913e-06
M7X4N1	RHTO_05732	3.912355638145861e-06	4.412152547064608e-06
M7XUV1	RHTO_06027	9.301296041048094e-07	8.398372354950771e-07
M7WUT5	RHTO_01690		5.0511311143062235e-08
M7XG92	RHTO_05321	2.286702955012599e-06	2.774359960843029e-06
M7WY18	RHTO_03256	5.101758883758977e-07	4.77075603953386e-07
M7XN01	RHTO_01633	3.585468991389822e-07	4.789185498985203e-07
M7XIT0	RHTO_06833	2.39290716512573e-07	2.4131607216842084e-07
M7WHX0	RHTO_03880	1.02055327846803e-06	1.104299357495811e-06
M7XQI3	RHTO_00747	7.480251634998582e-07	7.954315233962201e-07
M7WKH4	RHTO_06453	1.587131709217618e-07	1.947289871478218e-07
M7WMM4	RHTO_05273	1.032816105537768e-06	1.0235158603830967e-06
M7XI13	RHTO_07273	2.6780153051542944e-07	2.4270185159437267e-07
M7WII3	RHTO_03563	5.2718434379916824e-08	5.8147123263074346e-08
M7XKC4	RHTO_02571	4.497337688088579e-07	5.19158281402393e-07
M7XIU1	RHTO_06848	6.42960505094174e-07	8.306976766105812e-07
M7WVF0	RHTO_04751	1.6293470780757848e-06	1.9373580275195604e-06
M7X7I7	RHTO_00488	4.5295891314747556e-07	2.7132395577982287e-07
M7WQN9	RHTO_03305	1.7284659686951855e-07	1.6398710503928473e-07
M7WXQ2	RHTO_03120	1.4540568236510705e-07	1.687021380512148e-07
M7XMY5	RHTO_02977	3.0691118544205485e-07	3.739793969233026e-07
M7WX28	RHTO_00689	2.055287568832797e-07	3.6208226960534e-07
M7WV57	RHTO_04656	1.1358589465491109e-07	1.457550592260345e-07
M7WIJ7	RHTO_03578	2.593404149560075e-06	2.7660179875565163e-06
M7XGP9	RHTO_07920	2.1832590727383077e-07	2.2156012265072618e-07
M7WGE7	RHTO_04281	5.9390124494505e-07	5.36210178511743e-07
M7X6U2	RHTO_00514	4.93886943678899e-07	5.001301340958062e-07
M7XFQ7	RHTO_08022	1.5985370951333918e-06	1.758151294187681e-06
M7WL38	RHTO_05661	3.577071305515671e-08	
M7WKS6	RHTO_05966	2.604771908599222e-07	2.81564299163391e-07
M7WD80	RHTO_06490	2.825090586527178e-07	3.459401369525806e-07
M7XNT9	RHTO_01490	3.2780705928231083e-07	4.284363428954626e-07
M7WL33	RHTO_05812	9.380605355818644e-07	8.421151048729534e-07
M7WP76	RHTO_01086	1.019297435831127e-06	8.898643570755734e-07
M7WJE2	RHTO_06630	1.4225244040115965e-07	1.8011715671741108e-07
M7XDH7	RHTO_01506	6.114262769241913e-08	6.483953899606475e-08
M7WSF3	RHTO_07236	1.5689492240746863e-06	1.4533679910290805e-06
M7WQ31	RHTO_03695	1.311278213989224e-06	1.1905257173646073e-06
M7X2V8	RHTO_04835	2.7739674894478875e-07	3.332431087276965e-07
M7WQV4	RHTO_03385	2.5044442898883334e-07	2.6594410193672697e-07
M7WYF0	RHTO_07458	1.5437336314427505e-06	1.6774238910305296e-06
M7X1U6	RHTO_06270	2.713512087277491e-07	2.774890038480019e-07
M7X6E4	RHTO_00349	1.8435669129020126e-06	1.8811273840610388e-06
M7X2Z7	RHTO_04871	6.38123628476845e-07	6.676843905439595e-07
M7WZU9	RHTO_00595	1.273523743794801e-07	1.1698675292944609e-07
M7XHI7	RHTO_07088	6.692870743135102e-07	6.520281916914431e-07
M7XHJ9	RHTO_04163	2.0656935192899334e-07	2.3536580066325706e-07
M7WK35	RHTO_02468	4.5062839337392666e-07	5.969201478737535e-07
M7X0Y9	RHTO_06799	5.798111661028791e-08	5.575078198886577e-08
M7WN84	RHTO_04305	7.215015682900574e-07	6.04772786423943e-07
M7WK50	RHTO_05962	3.021594261085228e-08	8.099305203150558e-08
M7XGG1	RHTO_07829	2.4018021235516017e-07	2.6190417727561763e-07
M7XIH0	RHTO_04002	3.347840542088155e-08	4.20264325396508e-08
M7WYQ4	RHTO_07856	5.14614795496628e-08	4.9048842596879244e-08
M7WKE8	RHTO_02299	3.073408951977913e-07	2.980853210833745e-07
M7X1T3	RHTO_06079	7.118308804872505e-07	6.236476097699409e-07
M7WN54	RHTO_05197	1.9491225467222468e-07	2.329970319580166e-07
M7WK21	RHTO_02448	1.0653085012000281e-06	1.318073962791066e-06
M7WS89	RHTO_07171	2.2311905958318444e-07	1.3740162782778052e-07
M7WL88	RHTO_05723	8.792863278921097e-07	8.639483860782529e-07
M7X698	NOP7	2.1812694929227566e-07	
M7WPM4	RHTO_00781	9.73802294001934e-07	1.0752576667258995e-06
M7X9A6	RHTO_03495	6.199343302692896e-08	5.9366382185804585e-08
M7X2L5	RHTO_04750	5.535399872830607e-09	5.8893917738314314e-09
M7X6J9	RHTO_00128	4.425456703895507e-07	3.9625739279048327e-07
M7XXA4	RHTO_05068	9.554884203537985e-08	1.4385508755777838e-07
M7WNK2	RHTO_04421	8.428070432284101e-06	8.747350460392905e-06
M7XI95	RHTO_03911	2.8979925501355967e-08	2.9597679353440682e-08
M7XEL7	RHTO_05830	5.051811171410025e-07	5.908402488035322e-07
M7WK05	RHTO_06611	2.9346237757608085e-07	2.608569997136365e-07
M7WIW7	RHTO_03376	5.935084071086534e-07	6.130517701001549e-07
M7X7F7	RHTO_00453	3.1264255620370923e-07	3.0328167665417937e-07
M7XGQ3	RHTO_07925	6.481416667878163e-06	6.8786194256173804e-06
M7XXM3	RHTO_02744	9.312700470530298e-07	9.56545347251923e-07
M7X211	RHTO_06149	2.191938049142728e-07	1.8070157245760403e-07
M7WQ25	RHTO_07985	5.152615437101831e-07	6.165616257318635e-07
M7WUE0	RHTO_01333	1.1432582496732067e-06	1.2740114624242075e-06
M7XMP2	RHTO_01914	3.2000777930105365e-06	3.912837809280374e-06
M7WMC4	RHTO_05138	6.91136052490444e-07	7.544051995526914e-07
M7XGE2	RHTO_05150	1.4480797558793075e-06	1.6887633230334884e-06
M7X0M2	RHTO_06900	6.430394508643687e-07	1.0293288439268187e-06
M7XN14	RHTO_03012	3.6297525730438964e-07	4.116209224690241e-07
M7XU92	RHTO_06852	4.211714062417183e-07	4.3680222450390325e-07
M7WIK5	RHTO_03588	2.836975385963138e-06	3.1428039559017477e-06
M7X268	RHTO_04594	4.569858711071418e-08	5.7945854615880205e-08
M7WG40	RHTO_04388	3.1593238014212015e-08	3.218250703274444e-08
M7WXC1	RHTO_02980	7.821770421636918e-08	8.948685536982839e-08
M7X3E3	RHTO_05016	1.229181591737624e-06	1.3159587876952788e-06
M7WEY0	RHTO_05354	6.777163149352938e-07	1.0232322356687735e-06
M7XUE2	RHTO_06917	1.626389122479079e-07	1.7476602484827377e-07
M7WKZ8	RHTO_02028	5.44763740037418e-07	3.759511650934019e-07
M7WKI1	RHTO_02167	5.366494279458832e-07	5.72584408240809e-07
M7WNX4	RHTO_04023	1.4380529267753137e-07	1.5558400383125707e-07
M7WDH6	RHTO_05993	4.5803158602065105e-07	3.9178908264022953e-07
M7X368	RHTO_04926	1.0479589855552734e-06	9.565269364720527e-07
M7WUY3	RHTO_04575	3.699126302223902e-07	2.924008540727615e-07
M7XI04	RHTO_04045	5.4903576670063495e-08	5.647141513206033e-08
M7XN33	RHTO_03042	1.2899673166656903e-06	8.197321362503216e-07
M7WN91	RHTO_04310	1.2747964113700877e-07	1.4554789786638606e-07
M7XMV4	RHTO_02952	1.359793441231274e-07	1.507713791167083e-07
M7X0F7	RHTO_06820	4.089565721495338e-06	5.266778396426127e-06
M7WVB0	RHTO_04716	5.067149114116675e-07	5.25956440470568e-07
M7XIW2	RHTO_06878	5.328772037001063e-07	4.6635488803054664e-07
M7XRD3	RHTO_08116	1.1219034137079527e-07	1.1431413318863988e-07
M7X123	RHTO_06020	2.038306873007508e-06	1.931545301333952e-06
M7WH87	RHTO_04109	9.030928629952402e-07	8.859106544489798e-07
M7WUL9	RHTO_06276	9.100132021232107e-07	1.0875729463994168e-06
M7XQG0	RHTO_00722	2.535206476104045e-07	2.954914723767747e-07
M7WQD9	RHTO_03487	2.7213954293980532e-08	2.6063328333062753e-08
M7WNZ1	RHTO_04355	5.8050260316077554e-08	9.406168636829133e-08
M7XNJ1	RHTO_01385	4.225737691476035e-06	4.694920605279032e-06
M7XMX5	RHTO_01603	4.75081123216298e-08	5.716234507825644e-08
M7WUZ4	RHTO_04590	1.2179546201008218e-07	1.8842214175419917e-07
