protID	geneID	protName	capUse_Xexp	capUse_XNlim	absUse_Xexp	absUse_XNlim	UB_Xexp	UB_XNlim
M7WQ73	RHTO_08030	RHTO_08030	1	0	4.02e-07	0	4.02e-07	1.16e-07
M7WQ86	RHTO_03745	RHTO_03745	0.00038	0.000227	5.51e-09	1.56e-09	1.45e-05	6.88e-06
M7WQ90	RHTO_08045	RHTO_08045	0.00323	0	4.05e-09	6.39e-10	1.25e-06	Inf
M7WQ95	RHTO_08050	RHTO_08050	0	0	0	0	2.02e-06	7.56e-07
M7WQA8	RHTO_03868	RHTO_03868	0	0	3.92e-09	1.6e-09	Inf	Inf
M7WQC9	RHTO_03472	RHTO_03472	0.000599	0.000448	1.03e-09	2.29e-10	1.71e-06	5.1e-07
M7WQF1	RHTO_03507	RHTO_03507	0.0305	0	2.89e-08	0	9.47e-07	2.81e-07
M7WQN8	RHTO_07717	RHTO_07717	0.0332	0	4.84e-09	4.85e-10	1.46e-07	Inf
M7WQS7	RHTO_03360	RHTO_03360	0	0	0	0	Inf	1.11e-07
M7WQY0	RHTO_03511	RHTO_03511	0	0	2.66e-07	1.17e-07	Inf	Inf
M7WR01	RHTO_07853	RHTO_07853	0.00823	0.00398	1.02e-07	2.41e-08	1.24e-05	6.05e-06
M7WR18	RHTO_03440	RHTO_03440	0	0	0	0	Inf	Inf
M7WR32	RHTO_03571	RHTO_03571	0	0	0	0	Inf	1.48e-08
M7WR40	RHTO_07893	RHTO_07893	0.0914	0.0929	8.63e-07	3.83e-07	9.45e-06	4.12e-06
M7WR53	RHTO_02504	RHTO_02504	0	0	0	0	Inf	Inf
M7WRD1	RHTO_02564	RHTO_02564	0.98	0.233	9.09e-08	9.11e-09	9.27e-08	3.91e-08
M7WRH3	RHTO_03399	RHTO_03399	0	0	0	0	6.85e-07	4.29e-07
M7WRJ4	RHTO_03419	RHTO_03419	0	0	0	0	Inf	Inf
M7WRL1	RHTO_03439	RHTO_03439	0	0	0	0	Inf	Inf
M7WRR3	RHTO_07569	RHTO_07569	0	0	0	0	1.8e-06	Inf
M7WRW9	RHTO_02583	RHTO_02583	1	0	7.7e-09	0	7.7e-09	Inf
M7WRY8	RHTO_07649	RHTO_07649	0	0	0	0	7.56e-07	1.93e-07
M7WS17	RHTO_02628	RHTO_02628	0	0.111	0	1.07e-07	1.13e-06	9.7e-07
M7WS33	RHTO_02643	RHTO_02643	0.0402	0.00851	3.51e-08	3.52e-09	8.73e-07	4.13e-07
M7WS38	RHTO_07106	RHTO_07106	0	0	0	0	1.22e-07	1.04e-07
M7WS43	RHTO_02272	RHTO_02272	0.0158	0.00419	3.97e-08	3.98e-09	2.52e-06	9.5e-07
M7WS58	RHTO_02180	RHTO_02180	0	0	0	0	Inf	Inf
M7WS89	RHTO_07171	RHTO_07171	0.949	1	7.11e-07	2.36e-07	7.49e-07	2.36e-07
M7WSB2	RHTO_07196	RHTO_07196	0.0453	0.0118	1.63e-07	1.64e-08	3.6e-06	1.39e-06
M7WSB6	RHTO_07201	RHTO_07201	0	0	0	0	Inf	Inf
M7WSE0	RHTO_02328	RHTO_02328	0	0	0	0	3.79e-06	1.37e-06
M7WSE5	RHTO_02172	RHTO_02172	0	0	2.1e-06	6.95e-07	Inf	Inf
M7WSH3	RHTO_02257	RHTO_02257	0.922	0.144	3.98e-07	5.41e-08	4.31e-07	3.76e-07
M7WSJ0	RHTO_02161	RHTO_02161	0	0	1.16e-10	4.28e-11	Inf	Inf
M7WSN0	RHTO_07316	RHTO_07316	0	0	0	0	3.63e-08	Inf
M7WSS6	RHTO_02329	RHTO_02329	0	0	0	0	Inf	Inf
M7WSV5	RHTO_07381	RHTO_07381	0	0	0	0	Inf	Inf
M7WSW5	RHTO_02032	RHTO_02032	0.11	0.049	4.47e-08	1.66e-08	4.05e-07	3.39e-07
M7WSY2	RHTO_02047	RHTO_02047	0	0	2.12e-10	4.73e-11	Inf	Inf
M7WSY9	RHTO_02273	RHTO_02273	0	0.00234	0	1.86e-09	8.53e-07	7.93e-07
M7WSZ7	RHTO_02062	RHTO_02062	0	0	0	0	6.75e-07	3.36e-07
M7WT15	RHTO_02077	RHTO_02077	0.000651	0.000183	1.55e-09	1.55e-10	2.38e-06	8.52e-07
M7WT20	RHTO_02082	RHTO_02082	0	0	0	0	Inf	Inf
M7WT33	RHTO_02306	RHTO_02306	0	0	0	6.2e-08	Inf	Inf
M7WT53	RHTO_01945	RHTO_01945	0	0	5.01e-05	1.58e-05	Inf	Inf
M7WT61	RHTO_02122	RHTO_02122	0.0318	0.000455	4.08e-09	3.74e-11	1.28e-07	8.22e-08
M7WT77	RHTO_06811	RHTO_06811	0.00679	0.00628	2.33e-08	5.58e-09	3.43e-06	8.88e-07
M7WT79	RHTO_01970	RHTO_01970	0.0252	0.0267	7.51e-07	2.14e-07	2.98e-05	8.02e-06
M7WT83	RHTO_01742	RHTO_01742	0	0	0	0	Inf	Inf
M7WT97	RHTO_01986	RHTO_01986	0	0	0	0	Inf	Inf
M7WTA9	RHTO_01996	RHTO_01996	0.376	1	2.55e-08	4.66e-08	6.79e-08	4.66e-08
M7WTD9	RHTO_06886	RHTO_06886	0.281	0.097	9.13e-07	9.15e-08	3.25e-06	9.44e-07
M7WTF8	RHTO_06911	RHTO_06911	0	0	7.16e-09	7.18e-10	Inf	Inf
M7WTG7	RHTO_06921	RHTO_06921	0	0	0	0	1.01e-06	Inf
M7WTI0	RHTO_01852	RHTO_01852	0.0606	0.0537	3.77e-07	1.71e-07	6.22e-06	3.18e-06
M7WTK2	RHTO_02076	RHTO_02076	0	0	0	0	Inf	Inf
M7WTN9	RHTO_01922	RHTO_01922	0	0	0	0	8.42e-05	2.98e-05
M7WTT0	RHTO_01735	RHTO_01735	0	0	0	0	4.65e-07	1.84e-07
M7WTV5	RHTO_01766	RHTO_01766	0	0	0	0	1.76e-07	5.41e-08
M7WTZ3	RHTO_01811	RHTO_01811	0	0	0	0	Inf	Inf
M7WU06	RHTO_01826	RHTO_01826	0	0	0	0	1.12e-06	4.43e-07
M7WU99	RHTO_01931	RHTO_01931	0	0	0	0	6.56e-08	Inf
M7WUA2	RHTO_06171	RHTO_06171	0	0	0	0	Inf	7.46e-08
M7WUD3	RHTO_01560	RHTO_01560	0	0	0	0	1.4e-05	2.85e-06
M7WUF2	RHTO_06216	RHTO_06216	0.00168	0.000665	5.66e-09	1.26e-09	3.36e-06	1.9e-06
M7WUH8	RHTO_06231	RHTO_06231	0	0	0	0	1.44e-06	3.59e-07
M7WUI0	RHTO_01605	RHTO_01605	0.115	0.066	4.13e-06	1.7e-06	3.6e-05	2.57e-05
M7WUI5	RHTO_01610	RHTO_01610	0.00745	0.0048	9.19e-08	2.84e-08	1.23e-05	5.91e-06
M7WUJ6	RHTO_01625	RHTO_01625	0	0	0	0	1.22e-06	6.03e-07
M7WUM6	RHTO_06286	RHTO_06286	0	0	0	0	3.6e-05	1.95e-05
M7WUP1	RHTO_01660	RHTO_01660	0.00175	0.00251	1.26e-09	4.18e-10	7.2e-07	1.66e-07
M7WUP8	RHTO_06311	RHTO_06311	0.000968	0.00057	5.79e-09	1.41e-09	5.98e-06	2.48e-06
M7WUQ8	RHTO_06321	RHTO_06321	0.00194	0	1.92e-09	0	9.94e-07	Inf
M7WUR1	RHTO_06326	RHTO_06326	0.00269	0.00063	1.41e-09	1.42e-10	5.25e-07	2.25e-07
M7WUU3	RHTO_01695	RHTO_01695	0.0197	0.0341	5.93e-07	1.98e-07	3.01e-05	5.81e-06
M7WUV4	RHTO_01498	RHTO_01498	1	0	6.77e-08	9.19e-09	6.77e-08	Inf
M7WUY3	RHTO_04575	RHTO_04575	0.245	0.0871	1.76e-07	1.76e-08	7.18e-07	2.02e-07
M7WV09	RHTO_04605	RHTO_04605	0	0	0	0	Inf	Inf
M7WV59	RHTO_01191	RHTO_01191	0	0	0	0	Inf	Inf
M7WV68	RHTO_01377	RHTO_01377	0	0	0	0	Inf	Inf
M7WV85	RHTO_01392	RHTO_01392	0.00731	0.00178	1.12e-08	1.23e-09	1.54e-06	6.91e-07
M7WV94	RHTO_04701	RHTO_04701	0	0	5.12e-11	0	Inf	Inf
M7WVB7	RHTO_01432	RHTO_01432	0	0	0	0	Inf	Inf
M7WVD1	RHTO_01266	RHTO_01266	0	0	0	0	Inf	Inf
M7WVH1	RHTO_01306	RHTO_01306	0	0	0	0	Inf	Inf
M7WVH5	RHTO_01311	RHTO_01311	0	0	0	0	1.43e-07	7.54e-08
M7WVH9	RHTO_04781	RHTO_04781	0	0	0	0	9.15e-06	9.4e-06
M7WVM4	RHTO_04826	RHTO_04826	0	0	0	0	Inf	Inf
M7WVP5	RHTO_04846	RHTO_04846	0	0	0	0	1.99e-06	1.24e-06
M7WVT2	RHTO_04872	RHTO_04872	0	0	0	0	Inf	Inf
M7WVT8	RHTO_04877	RHTO_04877	0	0	0	0	Inf	Inf
M7WVW2	RHTO_01205	RHTO_01205	0.0771	0.127	6.26e-07	3.9e-07	8.12e-06	3.07e-06
M7WVW4	RHTO_00975	RHTO_00975	0	0	0	0	1.3e-07	4.09e-08
M7WVZ5	RHTO_04917	RHTO_04917	0	0	1.53e-08	1.53e-09	Inf	Inf
M7WW26	RHTO_04957	RHTO_04957	0	0	0	0	7.68e-07	1.91e-07
M7WW40	RHTO_01050	RHTO_01050	0.971	0.99	3.26e-06	7.27e-07	3.36e-06	7.34e-07
M7WW42	RHTO_01290	RHTO_01290	0.253	0	4.6e-06	0	1.82e-05	4.93e-06
M7WW46	RHTO_04987	RHTO_04987	0	0	0	0	Inf	Inf
M7WW56	RHTO_01070	RHTO_01070	0	0	8.11e-09	6.93e-10	Inf	Inf
M7WW70	RHTO_01315	RHTO_01315	0	0	0	0	Inf	Inf
M7WW95	RHTO_05042	RHTO_05042	0	0	0	0	6.61e-06	2.67e-06
M7WWA7	RHTO_00655	RHTO_00655	0	0	0	0	Inf	Inf
M7WWD6	RHTO_00685	RHTO_00685	0	0	0	0	2.7e-07	1.5e-07
M7WWF5	RHTO_00710	RHTO_00710	0	0	0	0	2.75e-06	1.49e-06
M7WWF7	RHTO_05117	RHTO_05117	0	0	0	0	3.85e-06	1.47e-06
M7WWG0	RHTO_00715	RHTO_00715	0	0	0	0	7.63e-09	Inf
M7WWJ6	RHTO_00755	RHTO_00755	0.115	0.066	4.13e-06	1.7e-06	3.6e-05	2.57e-05
M7WWK7	RHTO_00765	RHTO_00765	0	0	0	0	Inf	Inf
M7WWP7	RHTO_00810	RHTO_00810	0	0	0	0	Inf	Inf
M7WWQ2	RHTO_00815	RHTO_00815	0	0	1.49e-09	0	Inf	Inf
M7WWV0	RHTO_01064	RHTO_01064	0	0	0	0	1.55e-06	3.97e-07
M7WWW0	RHTO_07939	RHTO_07939	0.00618	0.00224	1.05e-07	2.5e-08	1.7e-05	1.12e-05
M7WWZ0	RHTO_00639	RHTO_00639	0	0	0	0	Inf	Inf
M7WX00	RHTO_02875	RHTO_02875	0	0	0	0	Inf	Inf
M7WX06	RHTO_02880	RHTO_02880	0	0	0	0	1.04e-06	6.05e-07
M7WX10	RHTO_07984	RHTO_07984	0	0	0	0	7.98e-07	3.45e-07
M7WX25	RHTO_07994	RHTO_07994	0.00253	0	3.48e-10	1.17e-10	1.37e-07	Inf
M7WX37	RHTO_08004	RHTO_08004	0	0	0	0	Inf	Inf
M7WX81	RHTO_00749	RHTO_00749	0	0	0	0	3.25e-06	1.77e-06
M7WX90	RHTO_00759	RHTO_00759	1.61e-05	0	9.75e-11	2.18e-11	6.04e-06	Inf
M7WXC3	RHTO_00794	RHTO_00794	0.0113	0.00187	2.41e-08	2.42e-09	2.14e-06	1.29e-06
M7WXI4	RHTO_03050	RHTO_03050	0	0	0	0	Inf	Inf
M7WXK0	RHTO_08139	RHTO_08139	0.0145	0.00317	3.7e-08	3.7e-09	2.55e-06	1.17e-06
M7WXK9	RHTO_08149	RHTO_08149	0	0	2.79e-10	6.22e-11	Inf	Inf
M7WXL1	RHTO_03075	RHTO_03075	0	0	0	0	1.31e-05	3.03e-06
M7WXL3	RHTO_08154	RHTO_08154	0	0	0	0	8.12e-08	2e-08
M7WXM5	RHTO_07968	RHTO_07968	0	0	0	0	Inf	Inf
M7WXM9	RHTO_07691	RHTO_07691	0.176	0.111	3.65e-06	6.09e-07	2.08e-05	5.5e-06
M7WXN3	RHTO_07696	RHTO_07696	0	0	0	0	3.84e-07	Inf
M7WXP1	RHTO_03105	RHTO_03105	0	0	0	0	Inf	Inf
M7WXR0	RHTO_07998	RHTO_07998	0	0	0	0	9.18e-07	3.73e-07
M7WXS9	RHTO_08013	RHTO_08013	0.00202	0	4.97e-09	0	2.46e-06	1.67e-06
M7WXV0	RHTO_03176	RHTO_03176	0	0	0	0	Inf	Inf
M7WXZ0	RHTO_03226	RHTO_03226	0	0	0	0	5.46e-07	Inf
M7WY13	RHTO_03251	RHTO_03251	1	0	3.05e-07	0	3.05e-07	2.53e-07
M7WY37	RHTO_03276	RHTO_03276	0	0	0	0	Inf	Inf
M7WY92	RHTO_00025	RHTO_00025	0	0	0	0	2.32e-07	8.16e-08
M7WYE8	RHTO_07750	RHTO_07750	0.208	0.0636	5.74e-07	5.76e-08	2.76e-06	9.05e-07
M7WYG5	RHTO_00095	RHTO_00095	0	0	0	0	1.27e-07	3.02e-08
M7WYH9	RHTO_07483	RHTO_07483	0	0	0	0	Inf	Inf
M7WYL9	RHTO_07820	RHTO_07820	0.00116	1	8.27e-09	3.73e-06	7.14e-06	3.73e-06
M7WYP1	RHTO_07538	RHTO_07538	0	0	1.79e-10	5.94e-11	Inf	Inf
M7WYQ3	RHTO_00160	RHTO_00160	0	0	1.62e-10	2.77e-11	Inf	Inf
M7WYU1	RHTO_00205	RHTO_00205	0	0	0	0	5.08e-07	1.7e-07
M7WYU3	RHTO_07901	RHTO_07901	0	0	0	0	Inf	Inf
M7WYV4	RHTO_00225	RHTO_00225	0	0	0	0	Inf	5.78e-07
M7WYZ4	RHTO_07628	RHTO_07628	0	0	3.76e-07	1.24e-07	Inf	Inf
M7WYZ8	RHTO_00280	RHTO_00280	0.000186	0.000103	2.48e-10	2.49e-11	1.34e-06	2.4e-07
M7WZ16	RHTO_00300	RHTO_00300	0	0	0	0	2.72e-06	1.04e-06
M7WZ39	RHTO_07075	RHTO_07075	0	0	0	0	9.19e-08	Inf
M7WZ44	RHTO_07080	RHTO_07080	0.00324	0.00609	6.24e-08	3.27e-08	1.93e-05	5.38e-06
M7WZ79	RHTO_07482	RHTO_07482	0	0	8.35e-10	1.86e-10	Inf	Inf
M7WZ93	RHTO_00390	RHTO_00390	0	0	0	1.79e-09	Inf	Inf
M7WZA8	RHTO_07507	RHTO_07507	0	0	0	0	Inf	Inf
M7WZC2	RHTO_07522	RHTO_07522	0	0	0	0	1.37e-07	6.4e-08
M7WZC3	RHTO_00425	RHTO_00425	0.761	0.328	1.18e-06	3.45e-07	1.55e-06	1.05e-06
M7WZE5	RHTO_00450	RHTO_00450	0	0	0	0	1.1e-06	7.61e-08
M7WZG4	RHTO_00470	RHTO_00470	0	0	0	0	3.06e-07	Inf
M7WZJ7	RHTO_07250	RHTO_07250	0.0577	0.0616	3.77e-07	1.71e-07	6.53e-06	2.77e-06
M7WZK3	RHTO_07577	RHTO_07577	0	0	0	0	Inf	Inf
M7WZV2	RHTO_07345	RHTO_07345	0	0	0	0	9.7e-07	3.64e-07
M7WZY6	RHTO_07144	RHTO_07144	0	0	0	0	Inf	Inf
M7X005	RHTO_06715	RHTO_06715	0	0	0	0	Inf	Inf
M7X080	RHTO_07249	RHTO_07249	0	0	0	0	7.9e-08	Inf
M7X090	RHTO_07259	RHTO_07259	0	0	0	0	Inf	Inf
M7X0B3	RHTO_07284	RHTO_07284	0	0	0	0	7e-08	9.79e-09
M7X0E7	RHTO_06810	RHTO_06810	0	0	0	0	2.58e-06	9.83e-07
M7X0J8	RHTO_06870	RHTO_06870	0	0	0	0	4.78e-06	1.66e-06
M7X0M6	RHTO_06905	RHTO_06905	0	0	0	0	Inf	Inf
M7X0P4	RHTO_06925	RHTO_06925	0.129	0.009	4.29e-08	1.57e-09	3.32e-07	1.74e-07
M7X0P7	RHTO_06930	RHTO_06930	0	0	0	0	2.3e-05	1.44e-05
M7X0R7	RHTO_06955	RHTO_06955	0.243	0.113	1.72e-05	4.21e-06	7.07e-05	3.72e-05
M7X0S9	RHTO_06970	RHTO_06970	0	0	0	0	Inf	Inf
M7X0T7	RHTO_06769	RHTO_06769	0.171	0	1.19e-08	1.2e-09	6.97e-08	Inf
M7X0Y9	RHTO_06799	RHTO_06799	0	0	0	0	9.34e-08	4.53e-08
M7X0Z1	RHTO_07040	RHTO_07040	0.000127	2.99e-05	1.64e-10	1.64e-11	1.29e-06	5.5e-07
M7X100	RHTO_07050	RHTO_07050	0	0	0	0	Inf	Inf
M7X101	RHTO_06809	RHTO_06809	0	0	0	0	2.43e-07	Inf
M7X109	RHTO_06005	RHTO_06005	0.362	0	2.64e-07	8.74e-08	7.3e-07	Inf
M7X121	RHTO_06834	RHTO_06834	0	0	0	0	Inf	Inf
M7X137	RHTO_06035	RHTO_06035	0.0185	0.00597	6.74e-08	6.76e-09	3.64e-06	1.13e-06
M7X192	RHTO_06919	RHTO_06919	0	0	0	0	5.81e-06	1.34e-06
M7X195	RHTO_06924	RHTO_06924	0	0	7.25e-10	7.27e-11	Inf	Inf
M7X197	RHTO_06095	RHTO_06095	0	0	0	0	Inf	Inf
M7X1C7	RHTO_06125	RHTO_06125	0	0	0	0	3.65e-07	1.13e-07
M7X1E3	RHTO_06979	RHTO_06979	0.049	0.0213	6e-07	6.02e-08	1.23e-05	2.82e-06
M7X1I9	RHTO_07034	RHTO_07034	0	0	3.84e-08	2.57e-10	Inf	Inf
M7X1K7	RHTO_06195	RHTO_06195	0	0	0	0	Inf	1.58e-08
M7X1K9	RHTO_06004	RHTO_06004	0.0556	0.0187	6.3e-09	6.31e-10	1.13e-07	3.37e-08
M7X1R6	RHTO_06064	RHTO_06064	0.0417	0.012	6.29e-08	6.31e-09	1.51e-06	5.24e-07
M7X1T3	RHTO_06079	RHTO_06079	0	0	0	0	1.64e-07	6.08e-08
M7X1X8	RHTO_06310	RHTO_06310	0	0	0	0	3.47e-09	Inf
M7X200	RHTO_06139	RHTO_06139	0	0	0	0	Inf	Inf
M7X256	RHTO_04579	RHTO_04579	0	0	0	0	Inf	Inf
M7X2B5	RHTO_04650	RHTO_04650	0.000142	4.32e-05	3.64e-09	3.79e-10	2.57e-05	8.77e-06
M7X2E6	RHTO_06254	RHTO_06254	0	0.00053	5e-10	5.02e-11	Inf	9.46e-08
M7X2F3	RHTO_04690	RHTO_04690	0.614	0.295	7.01e-07	1.56e-07	1.14e-06	5.29e-07
M7X2H2	RHTO_06284	RHTO_06284	0	0	0	0	Inf	Inf
M7X2H6	RHTO_06289	RHTO_06289	0	0	0	0	3.52e-05	2.23e-05
M7X2J2	RHTO_06309	RHTO_06309	0.0245	0.0285	1.24e-08	4.09e-09	5.04e-07	1.44e-07
M7X2Q1	RHTO_04785	RHTO_04785	0	0	0	0	Inf	Inf
M7X2V8	RHTO_04835	RHTO_04835	0	0	0	0	5.62e-07	1.95e-07
M7X2Z7	RHTO_04871	RHTO_04871	0.00381	0.000775	3.91e-09	3.92e-10	1.03e-06	5.06e-07
