Gene name	mmol_gDW_P1
RHTO_05484	4.6046160708121123e-07
RHTO_04871	1.3706905301514387e-06
RHTO_08104	3.1856337469045442e-06
RHTO_04816	8.232985724907952e-05
RHTO_00550	7.042273455770794e-07
RHTO_05355	1.0846629349948748e-07
RHTO_00392	1.3621566691487279e-06
RHTO_01492	9.737747965527806e-08
RHTO_01423	9.9416433787614e-07
RHTO_06779	8.369380960138197e-07
RHTO_00116	4.688220268047603e-07
RHTO_01067	1.084871564451291e-06
RHTO_04072	8.561782316714549e-08
RHTO_05680	1.4737553722140057e-06
RHTO_07439	4.1253953130230744e-07
RHTO_03600	1.9215552062600106e-06
RHTO_01562	3.500335271929813e-06
RHTO_03377	8.839905922815447e-07
RHTO_07719	5.68163194514766e-06
RHTO_05360	2.0115840627390374e-08
RHTO_05714	4.58896738175983e-06
RHTO_06068	6.221680655504693e-06
RHTO_04193	1.005661190440669e-05
RHTO_02115	0.00012188764335692829
RHTO_01304	1.992246176450159e-06
RHTO_01690	2.2266264870601335e-07
RHTO_08140	1.4022098417965279e-06
RHTO_05390	0.00010191454675365894
RHTO_04135	1.7442863459118243e-08
RHTO_03559	3.906675700126596e-06
RHTO_06072	1.2742232308455979e-06
RHTO_05594	4.9564274114769085e-06
RHTO_07359	4.7831880882486335e-05
RHTO_05582	7.370135108029257e-07
RHTO_00566	1.895585205088817e-07
RHTO_02113	6.495416560222827e-07
RHTO_06973	1.6520044262259708e-05
RHTO_02070	2.0372098028221026e-06
RHTO_00023	6.752787126317668e-07
RHTO_06972	3.6622082822597484e-05
RHTO_02778	1.7902536688969972e-07
RHTO_00206	0.00010277381319540282
RHTO_04152	1.1299915228592462e-05
RHTO_00640	1.384329248840887e-07
RHTO_05829	2.2634012316442246e-06
RHTO_04971	1.2552341665006758e-06
RHTO_03660	7.4412605792064554e-06
RHTO_04606	2.941578279044624e-06
RHTO_03085	1.8456054411565777e-06
RHTO_07718	4.860213476322912e-07
RHTO_04357	8.668122180410258e-08
RHTO_04043	1.4104319841455762e-05
RHTO_00557	4.209246949810264e-08
RHTO_01906	7.3696223837569215e-06
RHTO_00856	2.158857246150982e-06
RHTO_06891	8.101048370777879e-08
RHTO_05148	1.0731300995170443e-07
RHTO_00355	5.706280855970506e-08
RHTO_05997	4.859951778340059e-08
RHTO_03292	0.00016459756459621524
RHTO_01203	1.1761918514680083e-07
RHTO_07138	8.03281872322616e-09
RHTO_03573	1.0671547009103193e-05
RHTO_04874	1.1695934606701298e-05
RHTO_03913	2.14534943795961e-07
RHTO_06014	5.710366135800607e-08
RHTO_06738	1.7555029643370775e-06
RHTO_06557	3.2663480874368024e-08
RHTO_08080	5.693013266816902e-06
RHTO_03037	9.433129588308079e-09
RHTO_07480	2.33781367600319e-06
RHTO_04030	1.7188605530657827e-05
RHTO_03585	4.7884578916235836e-08
RHTO_05777	3.035496540364541e-08
RHTO_02880	9.329317498550163e-07
RHTO_00822	6.074530956684382e-07
RHTO_07754	1.067647236710635e-06
RHTO_05510	2.699377139862731e-08
RHTO_04622	2.2546262068037203e-06
