uniprot	Gene_names	Xexp_1	Xexp_2
M7WYS8	RHTO_07886	0.00011159291244509864	0.00011358616174927658
M7X6H4	RHTO_00384	1.3137533211385838e-05	1.4477428324748691e-05
M7XAY4	RHTO_02290	9.325713826393793e-05	0.0001011331370621916
M7WQ86	RHTO_03745	1.4240982806898086e-05	1.3927772055202265e-05
M7XQ75	RHTO_00632	0.00012123978256424781	0.00011296043675899798
M7WZP5	RHTO_00545	2.398416460241979e-05	2.588794177808779e-05
M7X2E5	RHTO_06249	0.00012519078466617054	0.0001266618775173225
M7WM05	RHTO_05617	8.868403827777748e-05	8.995754452926733e-05
M7WNZ9	RHTO_04058	1.4502283010434967e-05	1.7553160463538632e-05
M7X1K0	RHTO_06190	0.00013223239740439846	0.00013360297760763327
M7WNW6	RHTO_04325	5.967136810744458e-05	6.285739969290738e-05
M7XFU8	RHTO_05390	9.354437129708941e-05	7.345895792269157e-05
M7XGB9	RHTO_05130	0.0001476163704882025	0.0001528151508017456
M7X5J4	RHTO_05517	6.641542260246974e-05	7.113848040476345e-05
M7WUU3	RHTO_01695	2.9940027200876115e-05	2.9732143794864676e-05
M7X0J3	RHTO_07359	6.439944637691966e-05	6.722596949888717e-05
M7X2T0	RHTO_04593	0.00011594768468029802	0.0001209840362318441
M7XBX1	RHTO_02115	9.046244432290506e-05	8.688468657569033e-05
M7X6Q2	RHTO_00469	0.0002005873201821985	0.0002043554160875367
M7XZM3	RHTO_00206	6.129913372450312e-05	6.951613546405296e-05
M7XRQ3	RHTO_07773	1.3701611746877757e-05	1.0669422445670654e-05
M7X2K5	RHTO_04740	7.655949407875058e-05	7.957215571558274e-05
M7XFR0	RHTO_08027	1.8617918123832926e-06	2.0347812972540872e-06
M7XJ98	RHTO_07038	5.8818684770887344e-05	4.27356053679792e-05
M7XVW7	RHTO_04566	2.0575233896983676e-05	2.1283881809369674e-05
M7XJ56	RHTO_03737	9.727526314512926e-05	0.00011328455371905948
M7WNA8	RHTO_04326	7.895059618784472e-05	7.770135254179328e-05
M7WPC7	RHTO_03965	5.5357271042374754e-05	5.3995644343605904e-05
M7WIG9	RHTO_03543	9.455897718421591e-06	9.994376215666645e-06
M7WR40	RHTO_07893	7.839332090316854e-06	8.692039501630004e-06
M7WR16	RHTO_07868	5.9751998277033375e-05	5.7707085044894455e-05
M7X2P0	RHTO_04775	3.0649269741695606e-06	3.2165215118484448e-06
M7WXT8	RHTO_03161	0.00010430298147526352	0.00010569135215668518
M7WR01	RHTO_07853	1.1599753367722967e-05	1.1998471904295005e-05
M7XFJ5	RHTO_05461	3.5926601613105695e-05	6.20262523593046e-05
M7XXD2	RHTO_05103	5.096444359151352e-05	4.758441683436763e-05
M7XSC4	RHTO_07480	1.5625116517005778e-07	2.0257347225827502e-07
M7XM89	RHTO_02139	1.535788089058566e-07	1.9552315010493239e-07
M7WMX7	RHTO_04427	3.398971148798023e-05	2.6602285567579153e-05
M7XA66	RHTO_02577	0.00011303540862278484	0.00013673046232040722
M7WP66	RHTO_04185	0.0001265942292313907	9.442015356143299e-05
M7WTN9	RHTO_01922	6.08571936712051e-05	7.32281193490403e-05
M7WZ44	RHTO_07080	1.698701472954072e-05	1.4421349685642882e-05
M7XI84	RHTO_03896	1.282712248409794e-05	1.580330157905699e-05
M7X852	RHTO_04131	1.2413045146809696e-05	1.1152961567744434e-05
M7XE28	RHTO_01289	1.1103347918354158e-05	9.183089428516516e-06
M7X3J1	RHTO_06581	4.957317100847388e-06	4.4400001039125085e-06
M7XRX0	RHTO_07843	4.813403957198217e-05	3.937501509905003e-05
M7WME7	RHTO_01329	1.679582743608355e-05	1.3229411312903992e-05
M7WH92	RHTO_04114	4.767212085383829e-05	4.839509519410135e-05
M7X560	RHTO_05714	3.3073975451123472e-06	3.990197734144218e-06
M7WHD4	RHTO_03921	1.090086752501208e-05	1.8313452462580443e-05
M7XMJ4	RHTO_01854	4.879336751204396e-05	5.482127814758184e-05
M7WU42	RHTO_01866	6.28955506793302e-06	6.0750711231175996e-06
M7XEU6	RHTO_05746	7.065128326678132e-06	7.897858248814347e-06
M7WN97	RHTO_04315	2.6164769237384904e-06	2.308486037632395e-06
M7XRJ6	RHTO_07708	1.2388840052310371e-05	1.2175612207093122e-05
M7XIE1	RHTO_03967	0.00017022619218643657	0.00018050335530006478
M7WN01	RHTO_05162	5.774248487342329e-06	5.29496603714737e-06
M7WGA7	RHTO_04463	3.202588347966265e-06	3.7339445160663892e-06
M7XQ01	RHTO_01027	4.607113907473241e-06	5.312508821313526e-06
