uniprot	Gene_names	Xexp_1	Xexp_2
M7X2B5	RHTO_04650	2.227335707938117e-05	2.6487576756469223e-05
M7X6Q6	RHTO_00474	5.783835018834159e-05	5.792938161598482e-05
M7WT03	RHTO_02067	0.00013379572207803983	0.00012934969209290524
M7X8D2	RHTO_03968	0.00010641626945203636	0.0001106044128720834
M7WJP1	RHTO_07683	0.0001096218537397872	0.00010711169079404211
M7WPZ9	RHTO_03665	0.0002273037761926186	0.00023483300546600335
M7WLM0	RHTO_01873	8.081928180856917e-05	8.702345718337079e-05
M7WRD8	RHTO_02569	3.657545245884542e-05	2.6462392955714065e-05
M7X0R7	RHTO_06955	6.44724248837932e-05	7.438631261074361e-05
M7X3Q5	RHTO_02697	7.4512966057871956e-06	6.297601976597116e-06
M7XLZ6	RHTO_05119	9.168371016864124e-05	9.397989808139255e-05
M7XKK7	RHTO_04592	0.00023533128934130339	0.0002623585494790891
M7XJG9	RHTO_06048	8.348574797218418e-05	8.836742201207285e-05
M7X5L6	RHTO_03113	0.00011384402009074923	0.00012312645852725237
M7WMJ7	RHTO_05208	3.3492781600475744e-05	4.406812036884961e-05
M7WLD5	RHTO_05768	7.443525148541585e-07	7.077236679914218e-07
M7WYV8	RHTO_07911	0.0001926601391911397	0.00020285222309422113
M7X5F4	RHTO_03043	2.4664684368818492e-05	3.2041028072981135e-05
M7WXT3	RHTO_07756	0.0001674321715218926	0.00018850003348562443
M7XE86	RHTO_05964	0.00015890499506847648	0.00016958638162446773
M7XZ23	RHTO_03292	0.0002946106172693506	0.0003418720429134478
M7WW95	RHTO_05042	6.5248378427887186e-06	7.187828666241931e-06
M7WMR9	RHTO_01459	2.2810330167156935e-06	2.2594047248680378e-06
M7X9F4	RHTO_03560	4.476402765921627e-05	3.726364038235966e-05
M7X689	RHTO_00033	1.468696197553979e-05	1.7568106541969358e-05
M7X2U9	RHTO_01981	0.00020021135505639178	0.00025418197562101336
M7XDT3	RHTO_06539	0.00011368231860367088	0.00012285222799360228
M7X5D5	RHTO_05447	0.00019181116149703445	0.00020339005107312724
M7WTR2	RHTO_02116	0.000281295346934854	0.0003062763224043177
M7XKU4	RHTO_02373	0.00024404637487301058	0.0002550856446652534
M7WPY7	RHTO_03655	0.00019373305702391548	0.00018092675965386627
M7XU45	RHTO_06792	0.00022468634390153841	0.00021562171793511808
M7XMR9	RHTO_01538	1.0452987096865649e-05	1.0510302008879994e-05
M7X3D9	RHTO_05011	9.149963159305925e-05	0.00010186350920842054
M7WYS8	RHTO_07886	0.00013128577934717474	0.0001336307785285613
M7X6H4	RHTO_00384	1.5455921425159795e-05	1.7032268617351482e-05
M7XAY4	RHTO_02290	0.00010971428031051513	0.00011898016124963776
M7WQ86	RHTO_03745	1.6754097419880084e-05	1.638561418259098e-05
M7XQ75	RHTO_00632	0.00014263503831087962	0.0001328946314811747
M7WZP5	RHTO_00545	2.8216664238140906e-05	3.0456402091868137e-05
M7X2E5	RHTO_06249	0.00014728327607784757	0.0001490139735497919
M7WM05	RHTO_05617	0.00010433416267973814	0.0001058324053285503
M7WNZ9	RHTO_04058	1.7061509424041123e-05	2.0650777015927905e-05
M7X1K0	RHTO_06190	0.00015556752635811569	0.0001571799736560399
M7WNW6	RHTO_04325	7.020160953817003e-05	7.39498819916561e-05
M7XFU8	RHTO_05390	0.00011005220152598745	8.642230343846108e-05
M7XGB9	RHTO_05130	0.0001736663182214145	0.00017978253035499567
M7X5J4	RHTO_05517	7.813579129702313e-05	8.369232988795738e-05
M7WUU3	RHTO_01695	3.5223561412795394e-05	3.497899269984096e-05
M7X0J3	RHTO_07359	7.576405456108188e-05	7.908937588104412e-05
M7X2T0	RHTO_04593	0.00013640904080035047	0.00014233416027275843
M7XBX1	RHTO_02115	0.00010642640508577055	0.00010221727832434205
M7X6Q2	RHTO_00469	0.00023598508256729214	0.00024041813657357377
M7XZM3	RHTO_00206	7.211662791118007e-05	8.178368878123917e-05
M7XRQ3	RHTO_07773	1.6119543231620876e-05	1.2552261700789065e-05
M7X2K5	RHTO_04740	9.006999303382411e-05	9.361430084186246e-05
