uniprot	Gene_names	Gexp_1	Gexp_2
M7XM07	RHTO_02079	2.9463434791181305e-05	2.610059791168597e-05
M7WX81	RHTO_00749	4.729426877454841e-06	5.295995624702277e-06
M7WM06	RHTO_05244	1.6062492710841873e-05	1.4335620094603164e-05
M7WSE0	RHTO_02328	1.1348202988668523e-05	4.714311600042255e-06
M7WF78	RHTO_05245	7.870223216149688e-06	7.192479125592116e-06
M7WZ88	RHTO_00385	1.8993691191584885e-07	1.794976254529089e-07
M7WDP6	RHTO_05934	1.0638915269495789e-05	9.982419047444524e-06
M7WTD9	RHTO_06886	4.1270058588935735e-06	3.8346352788126146e-06
M7XKV3	RHTO_02384	1.584731035025533e-05	1.9742913833537648e-05
M7WVT6	RHTO_00950	1.1114894009560598e-06	1.1333916255419595e-06
M7WTL0	RHTO_06976	7.778397875118571e-06	7.434130542273625e-06
M7X9N1	RHTO_03348	6.832188275790367e-06	6.740400162969101e-06
M7WD74	RHTO_06480	1.9939253065653002e-06	2.0085151687697457e-06
M7WE51	RHTO_05627	2.5592436253307123e-06	1.645416807172687e-06
M7XEG0	RHTO_05920	2.4344636290087452e-05	2.545872555816283e-05
M7WTH2	RHTO_06926	1.4424000740667394e-06	1.3623001982403093e-06
M7XPV9	RHTO_00392	1.456710981270558e-06	1.5033504508934465e-06
M7XTU8	RHTO_06717	6.679581988465155e-06	
M7Y0T1	RHTO_00606		
M7XSX2	RHTO_07665	6.798547668465788e-07	6.418934707782976e-07
M7X4A9	RHTO_05896	5.748756134727886e-06	5.128055454108671e-06
M7XIT2	RHTO_03621	1.9065963790730824e-06	1.8561528901941583e-06
M7WYK3	RHTO_07503	3.013478938393197e-05	3.2586745389176525e-05
M7WT46	RHTO_02102	2.394243475494365e-05	1.963164742038472e-05
M7WX06	RHTO_02880	1.8252452187406795e-06	1.855010393387975e-06
M7WQR0	RHTO_07747	3.829598012958976e-06	3.5912060939399423e-06
M7XJK5	RHTO_03579	6.358007149198372e-06	5.98218260212922e-06
M7XPA1	RHTO_00152	3.0510486217769484e-06	2.916466863551384e-06
M7X0J8	RHTO_06870	4.631776870054953e-06	4.702372055025771e-06
M7WMN7	RHTO_01414	6.916646750186606e-05	5.8841090846010064e-05
M7WW40	RHTO_01050	1.7337363098917136e-06	1.8237488490625488e-06
M7WS73	RHTO_07151	6.282889613533413e-05	6.17331633120101e-05
M7XM95	RHTO_01739	6.261344300292862e-06	6.7810042996981665e-06
M7XID0	RHTO_03952	3.557535995513316e-06	3.516797270077007e-06
M7WZJ7	RHTO_07250	9.674367440480455e-06	9.085214407364057e-06
M7X568	RHTO_05541	1.2825959830919903e-06	1.1309716785131192e-06
M7XIZ1	RHTO_06913	8.288153946205453e-07	8.446281871553971e-07
