uniprot	Gene_names	ANlim_1	ANlim_2
M7WXI0	RHTO_08114	2.799861772899804e-08	2.2371924061263636e-08
M7WNC0	RHTO_04517	1.0716231572758413e-07	1.0569305646107633e-07
M7WZG4	RHTO_00470	7.06442517688125e-08	9.732911133976482e-08
M7X610	RHTO_03269		5.9546442960326e-07
M7XLB5	RHTO_04848	1.0484445104133204e-07	1.252071564585435e-07
M7WTY3	RHTO_01801	2.6263287676816726e-07	1.9889321188748158e-07
M7WXE4	RHTO_00819	1.8502391305719027e-07	
M7WMY6	RHTO_01116	3.6445237994886384e-07	4.0030868034430846e-07
M7XF71	RHTO_05663	1.1363409409016377e-08	1.150496109208912e-08
M7XLN1	RHTO_04974	2.9012993733807933e-07	2.350604851674437e-07
M7X201	RHTO_06335	1.389473666035349e-07	1.2455160237421643e-07
M7WLG0	RHTO_01793	1.5444841451514556e-07	1.0479198628203111e-07
M7WQG2	RHTO_08100	1.5809453530406148e-07	1.0760772830504696e-07
M7XYR8	RHTO_03182	4.0132243315357574e-07	4.1943707919439877e-07
M7XL28	RHTO_02479	5.65678679399824e-07	5.198535925149789e-07
M7XIV0	RHTO_03636	2.180081587521844e-08	1.663635095144832e-08
M7XB15	RHTO_02236	3.79485175179941e-08	3.439422045849438e-08
M7XZ85	RHTO_00056	1.0009054852773905e-07	9.896493073754355e-08
M7X3Y5	RHTO_02778	3.685426799298396e-08	3.8041382455881734e-08
M7XS74	RHTO_07420	6.444142575136465e-07	5.076482746947021e-07
M7WP67	RHTO_01076	3.364114000283029e-08	2.406569896570703e-08
M7WW52	RHTO_01065	2.1831846140638777e-08	1.7667303700325427e-08
M7XFR4	RHTO_05355	3.7035414912423646e-08	3.122709213945303e-08
M7X6F0	RHTO_05176		1.2309629472563302e-07
M7WZ08	RHTO_00290	4.061330079186004e-07	5.984967665420344e-07
M7WPB8	RHTO_00666		5.296265311966031e-07
M7WLV7	RHTO_05562	1.9718877348008732e-07	1.554274483560218e-07
M7XZP5	RHTO_00236	5.2007714919349305e-08	3.9225503445794215e-08
M7WLE1	RHTO_05613	8.231115293089097e-08	
M7X3Y6	RHTO_06407	1.2071956219208877e-07	1.9230528017647842e-07
M7WNN2	RHTO_00901	4.1323148740063135e-08	2.982953587608496e-08
M7WWC5	RHTO_05077	2.7787139243550524e-08	2.4566251573095792e-08
M7XEB5	RHTO_05870	3.989706951993905e-07	2.8092132701671016e-07
M7XQJ6	RHTO_00762	1.3392460447302446e-07	1.1224915288107324e-07
M7XPR8	RHTO_00957	3.486923753753469e-08	2.8071133345738245e-08
M7WG30	RHTO_04378	5.3393294444565045e-08	3.849741739172259e-08
M7WND2	RHTO_01267	9.402822775842863e-07	1.134835796750135e-06
M7WPU4	RHTO_00841	2.7912823790362385e-07	2.0433575318436592e-07
M7WVU9	RHTO_01190	2.6612786456935916e-08	2.49302465658329e-08
M7X2T5	RHTO_04598	4.1755459132014135e-06	4.1250486232830845e-06
M7WR15	YTM1	1.177900750483629e-07	
M7WXE3	RHTO_03005	6.861498687786816e-08	9.820062358745834e-08
M7XJR5	RHTO_06123	2.8759427112565123e-08	2.7666154590198063e-08
M7WW46	RHTO_04987	3.947276330872435e-07	2.882797052754246e-07
M7XHL0	RHTO_04173	1.3226636563414006e-07	1.494686389390747e-07
M7WS79	RHTO_02159	2.7042522556749377e-07	3.4349852381654846e-07
M7XGF4	RHTO_05160	2.8153331415626446e-07	2.1617068733019672e-07
M7XG05	RHTO_08117	3.812147147493722e-08	2.824147207399723e-08
M7WW13	RHTO_01030	2.650101271586982e-07	3.0806584257404517e-07
M7WT71	RHTO_02132	1.498066090169387e-06	1.475944286870227e-06
M7X4F8	RHTO_02721	6.44703931426035e-08	6.686587886559551e-08
M7WWJ6	RHTO_00755	3.4051243875750035e-06	6.605234097878388e-06
M7XI87	RHTO_03901	6.713727753560373e-08	6.288284190081886e-08
M7XYK8	RHTO_03111	7.226994864063998e-08	5.2063042831347275e-08
M7XI58	RHTO_04115	4.06778965323411e-07	2.986079568473159e-07
M7X5T6	RHTO_00119	1.5945505523358462e-07	1.2390443654794349e-07
M7WPW6	RHTO_07935	4.889149451092572e-08	4.733541508354368e-08
M7WMQ8	RHTO_01444	1.9783034539520998e-08	1.6839562803371655e-08
M7WTP5	RHTO_07021	2.0861712302050743e-07	2.208337399947139e-07
M7WEJ4	RHTO_05579	4.4813081617859026e-08	
M7WWD0	RHTO_00909	6.66516255167423e-07	6.272858094500657e-07
M7WLK8	RHTO_01858	1.3634971782420277e-06	1.7112597793799389e-06
M7XLV2	RHTO_05069	1.427501740568084e-06	2.2357774261299e-07
M7WNN7	RHTO_04461	1.5875569631632054e-07	1.4101039713464248e-07
M7WW02	RHTO_04927	1.4469771744002273e-07	9.574193915481059e-08
M7XL66	RHTO_02311	9.480049944017717e-08	9.243847856820721e-08
M7WQH3	TRM8	2.2003596243641932e-07	1.78743735956057e-07
M7WYA9	RHTO_07418	1.9542627036963085e-06	1.5035358170956191e-06
M7XGK6	RHTO_07880	5.275228835973574e-07	5.50908189170621e-07
M7XB54	RHTO_02278	3.973963743237511e-08	3.447576826786076e-08
M7XQT8	RHTO_07941	1.3168437252867845e-07	9.894775737164047e-08
M7X2Q8	RHTO_04568	7.758753752386498e-08	5.898456749566279e-08
M7WPM3	RHTO_04092	2.492035100612237e-08	1.8678338468404107e-08
M7WXJ2	RHTO_07938	1.077253944074961e-08	1.0823465406270027e-08
M7X080	RHTO_07249	6.540309705154753e-08	7.628573524950675e-08
