Gene_names	mmol_gDCW_average
RHTO_02116	0.00021493841590919673
RHTO_02373	0.00018484528885854496
RHTO_03655	0.0003957667838855887
RHTO_06792	0.00015720936449278237
RHTO_01538	7.287978317278975e-06
RHTO_05011	6.99163438239206e-05
RHTO_07886	9.681247758657492e-05
RHTO_00384	1.0465153130222399e-05
RHTO_02290	7.641547036267958e-05
RHTO_03745	2.139135185844855e-05
RHTO_00632	9.859454951969491e-05
RHTO_00545	1.9549202660696027e-05
RHTO_06249	0.00011388696265509001
RHTO_05617	7.420578040717452e-05
RHTO_04058	1.1921330111214736e-05
RHTO_06190	0.00011854209663135489
RHTO_04325	4.862229275071973e-05
RHTO_05390	6.976152069405776e-05
RHTO_05130	0.0001346011250236685
RHTO_05517	5.987249266922411e-05
RHTO_01695	2.7291058896190486e-05
RHTO_07359	5.274550778815396e-05
RHTO_04593	0.00010403362629528458
RHTO_02115	8.628576391725747e-05
RHTO_00469	0.00018421295245075366
RHTO_00206	7.632523698750911e-05
RHTO_07773	2.7585287510208242e-05
RHTO_04740	7.277025228383358e-05
RHTO_08027	5.7884347129814665e-06
RHTO_07038	5.444119294702301e-05
RHTO_04566	2.2671156208972054e-05
RHTO_03737	8.170626592078193e-05
RHTO_04326	7.420189379436222e-05
RHTO_03965	4.029305905441923e-05
RHTO_03543	9.20769661523339e-06
RHTO_07893	8.759231421818224e-06
RHTO_07868	4.3187004509133144e-05
RHTO_04775	4.0629071377193584e-06
RHTO_03161	8.96250878390452e-05
RHTO_07853	7.596820195066409e-06
RHTO_05461	0.0002569394428474858
RHTO_05103	4.245829179982969e-05
RHTO_07480	1.3223275568304381e-06
RHTO_02139	1.6537633239682895e-07
RHTO_04427	3.457484261479607e-05
RHTO_02577	0.00011000713083777156
RHTO_04185	0.0001011938725756694
RHTO_01922	2.1091091769468796e-05
RHTO_07080	2.1374125181435302e-05
RHTO_03896	1.2040952816814877e-05
RHTO_04131	1.2439954341876723e-05
RHTO_01289	1.4521599290454823e-05
RHTO_06581	3.275747175165997e-06
RHTO_07843	5.36593963365316e-05
RHTO_01329	2.573451726070471e-05
RHTO_04114	3.759336771839156e-05
RHTO_05714	5.49197066661564e-06
RHTO_03921	1.0729876905566098e-05
RHTO_01854	5.5078763352467374e-05
RHTO_01866	3.713052011241164e-06
RHTO_05746	1.4912793269135876e-05
RHTO_04315	5.796767945520293e-06
RHTO_07708	1.1320864059819708e-05
RHTO_03967	0.00014849047392028202
RHTO_05162	9.117140247888521e-06
RHTO_04463	3.4749297053540916e-06
RHTO_01027	9.351297459090793e-06
RHTO_02584	0.00028993446256430955
RHTO_04839	3.85935898583785e-05
RHTO_00354	0.00010461435879275648
