uniprotID	GeneName	REF_048_1	REF_048_2	REF_048_3
M7XPR8	RHTO_00957	1.0450149651451516e-07	9.053651858822568e-08	1.0681890977914611e-07
M7WJB6	RHTO_06691	6.340858164737352e-10	3.5839203329668745e-09	0.0
M7WHY4	RHTO_03630	2.909539780258582e-06	2.7768292267312382e-06	3.1444865030860395e-06
M7X437	RHTO_02833	1.8239862157328132e-06	1.6132170426879733e-06	1.8900426364283594e-06
M7WW24	RHTO_04952	3.782570600129731e-07	3.1112358273251067e-07	3.156493098776431e-07
M7WMP3	RHTO_04513	8.931258949054266e-07	8.296751292495169e-07	9.131445449107868e-07
M7XIG5	RHTO_03997	2.4924039213850648e-08	0.0	2.5966280349755805e-08
M7WMW2	RHTO_05127	8.788808861830541e-07	8.599369642082496e-07	1.0598714514451144e-06
M7WU42	RHTO_01866	3.3471789509623217e-06	3.3035745703539186e-06	4.325476037355291e-06
M7XJ43	RHTO_06978	2.8086242394751733e-08	2.5431217979489542e-08	3.3721769767688133e-08
M7XE81	RHTO_05959	4.840459639114361e-08	8.46578493502234e-08	7.475850971014094e-08
M7WR11	RHTO_07863	3.385067364168506e-06	3.401396429635042e-06	3.880540063305436e-06
M7XJN4	RHTO_03609	9.838036237122392e-07	9.376080524100993e-07	1.0873942175997949e-06
M7XK01	RHTO_06193	5.923459049421346e-06	6.367152314619583e-06	6.927817455877625e-06
M7WG40	RHTO_04388	5.282876673111844e-08	5.2696843444550735e-08	6.305547243892645e-08
M7WR06	RHTO_03541	7.181426696061156e-08	6.705672185260032e-08	7.518256106289143e-08
M7X4H3	RHTO_02949	1.7879892177458e-07	1.4906093378550912e-07	1.8983884955230626e-07
M7XE83	RHTO_00883	4.805200556739957e-07	4.2512788404474764e-07	8.932803168721234e-07
M7X4A4	RHTO_02671	7.256215059090462e-07	6.693338977742195e-07	6.311707450038936e-07
M7WGK5	RHTO_04342	5.328128089429789e-08	6.124014363359867e-08	7.65112999223936e-08
M7WD04	RHTO_06548	2.780140148677338e-07	2.3653894823259254e-07	2.3844805406131974e-07
M7XEX3	RHTO_05766	6.805852121252881e-08	5.4059190372151915e-08	1.3117154182430785e-07
M7XJL5	RHTO_03589	9.134702759604369e-08	8.147014087034638e-08	8.982439013874794e-08
